gruppe,angriffsklasse,severity,bypass_erstlauf,befund,komponente
G3,self-supplied-validator,P0,ja,a,
G1,self-referential-validator-staged-blob,P0,ja,"BROKER: GREEN, commit=a9c497b, HEAD_TREE=f7329b0; git cat-file -p HEAD:payload.txt => 'EVIL payload here'; Attestierung status=ATTESTED_GREEN_FOR_EXAC",scripts/s11_staged_tree_gate.py:run_gate_in /
G1,self-referential-validator-clean-working-tree-cover,P0,ja,"Index-Blob=EVIL payload, Index-Gate=print('GATE GRUEN'); BROKER: GREEN, HEAD_TREE=88d92c4; git cat-file -p HEAD:payload.txt => 'EVIL payload'; ATTEST ",scripts/s11_staged_tree_gate.py:run_gate_in (
G1,intent-to-add-noop-evasion,MEDIUM,partial,git write-tree VERWIRFT den -N-Eintrag (Index-Tree == HEAD-Tree) -> Broker meldet NOOP 'nichts zu committen'. Plain 'git commit -am' committet newf.tx,scripts/s11_staged_tree_gate.py:staged_tree_o
G1,clean-working-tree-evil-index,NONE,nein,"BROKER: RED 'Staged-Tree-Gate ROT', HEAD unveraendert (23a9748), keine Attestierung. Fix validiert korrekt den materialisierten Index-Tree, nicht den ",scripts/s11_staged_tree_gate.py:materialize_w
G1,evil-working-tree-clean-index,NONE,nein,"BROKER: GREEN, committed_tree=d6382ee == write-tree(Index); HEAD:file_a='clean content'. EVIL nie im Commit. Bindung intakt.",scripts/s11_validated_commit.py:validated_com
G1,partially-staged-file,NONE,nein,"BROKER: GREEN, committed_tree=2740e97 == Index; HEAD:file_a='clean v2 staged'. Unstaged EVIL fehlt im Commit. Bindung intakt.",scripts/s11_validated_commit.py (commit-tree 
G1,staged-rename-evil-content,NONE,nein,"BROKER: RED, HEAD unveraendert, keine Attestierung. Umbenannter Blob-Inhalt wird aus dem Index validiert. Bindung intakt.",scripts/s11_staged_tree_gate.py:gate_staged_t
G1,staged-deletion-rm-cached,NONE,nein,"BROKER: GREEN, committed_tree=1529540 == Index; file_b nicht im HEAD-Tree (grep-count 0) trotz vorhandener Working-Datei. Bindung intakt.",scripts/s11_validated_commit.py (Index autori
G1,staged-mode-change,NONE,nein,"BROKER: GREEN, committed_tree=bb213dd; git ls-tree HEAD => '100755 blob ... file_a.txt'. Modus exakt aus dem Index. Bindung intakt.",scripts/s11_staged_tree_gate.py:staged_tree_o
G1,deleted-from-working-after-add-clean,NONE,nein,"BROKER: GREEN, committed_tree=56cf443 == Index; ghost.txt im HEAD-Tree (grep-count 1) trotz Abwesenheit im Working Tree. Bindung intakt.",scripts/s11_validated_commit.py (Index autori
G1,deleted-from-working-after-add-evil,NONE,nein,"BROKER: RED, HEAD unveraendert (09751c3), keine Attestierung. Staerkster Positivbeleg: Gate faellt auf boesen Index-Blob herein, obwohl KEINE boese Da",scripts/s11_staged_tree_gate.py:materialize_w
G1,toctou-index-mutation-mid-gate,NONE,nein,Mutator setzte Index auf 6e5c89b; BROKER: FAIL 'CANDIDATE_TREE_CHANGED (Index nach Validierung mutiert)'; HEAD-Tree blieb Base (3caf4bc). TOCTOU-Verte,scripts/s11_validated_commit.py TOCTOU-Re-Che
G5,forbidden_path_prefix_bypass,HIGH,ja,git-diff auf dem literalen Präfix-Pathspec matcht keine Datei; changed=[]; S11-CONTROL-PLANE-SCOPE-GUARD TESTS: 5/5 PASS. Alle realen zitate_register/,tests/test_s11_control_plane_scope_guard.py t
G5,registry_silent_repin_of_reference,CRITICAL,ja,REF steht in ungeschützter Datei; Guard difft REF..HEAD und sieht nichts; 5/5 PASS. Die 'kein stilles Umpinnen'-Regel ist nur für die recheck-CAND-Kon,memory/PRODUCT_CANDIDATE_REGISTRY.yaml produc
G5,active_phase_silent_demotion,CRITICAL,ja,Guard wird gegen HEAD übersprungen; seine EIGENE Selbstprüfung test_phase_registry_documents_supersession läuft dadurch nie => selbstverdeckend. CSV i,reports/S11_GATE_PHASE_REGISTRY.csv + scripts
G5,universal_phase_offswitch,CRITICAL,ja,"Beliebige GATES-Phase per einzeiligem CSV-Eintrag gegen HEAD stummschaltbar; kein allow-list/deny-list, welche phase_id degradiert werden darf. Der de",reports/S11_GATE_PHASE_REGISTRY.csv (kein Dem
G5,forbidden_entry_removal,HIGH,ja,"Guard prüft nur 'FORBIDDEN nicht leer', keine Vollständigkeit gegen einen Kanon; 5/5 PASS trotz Backdoor auf einem vormals geschützten Pfad.",memory/PRODUCT_CANDIDATE_REGISTRY.yaml forbid
G5,unlisted_new_product_file,HIGH,ja,Scope-Guard betrachtet nur explizit gelistete Pfade; Additionen außerhalb der Liste sind blind; 5/5 PASS. (Im echten Repo: verifikator globbt check_*.,tests/test_s11_control_plane_scope_guard.py (
G5,recheck_cand_decoy_repin,MEDIUM,ja,"Guard macht nur naive Substring-Suche, nicht AST/effektiven Wert; 5/5 PASS trotz umgepinntem effektiven CAND.",tests/test_s11_ps861_006d_recheck_protocol.py
G5,phase_removal_vacuous_pass,MEDIUM,ja,"Guard-Klausel ist durch 'if os.path.exists(p)' geschützt und passt vacuously; 5/5 PASS. Phase kann ohne Ersatz verschwinden, ohne dass die no-repin-Kl",test_no_silent_repin_of_recheck_protocol (if 
G5,staged_tree_vs_head_gap_direct_gate,MEDIUM,partial,"Der Guard difft REF..HEAD, nicht REF..Index; gestagte Produktänderung ist unsichtbar; 5/5 PASS. Nur teilweise: im gehärteten Broker-/materialize-Pfad ",tests/test_s11_control_plane_scope_guard.py (
G5,control_file_documentation_divergence,MEDIUM,ja,"Divergenz möglich: Gate handelt nach yaml/csv, Reviewer sieht unveränderten .csv/.md-Zwilling => Demotion/Repin ist im menschlichen Review unsichtbar.",memory/PRODUCT_CANDIDATE_REGISTRY.yaml vs .cs
G4,forged_green_attestation_for_ungated_malicious_commit,P0,ja,verify_attestation_v2 => ATTESTED_GREEN_FOR_EXACT_TREE for the ungated commit whose tree provably contains 'POISON: exfiltrate secrets',scripts/ci_gate.py verify_attestation_v2 / wr
G4,tree_match_binding_falsification,P0,ja,verify_attestation_v2 => ATTESTED_GREEN_FOR_EXACT_TREE despite validated_tree_sha being all-zeros — the fix's core binding claim is not enforced at ve,scripts/ci_gate.py verify_attestation_v2 (val
G4,attestation_replay_onto_different_commit,CRITICAL,ja,"verify_attestation_v2(EVILC2) => ATTESTED_GREEN_FOR_EXACT_TREE, reusing the genuine gate_run_id — no nonce/signature ties the green run to its commit",scripts/ci_gate.py V2 attestation (no anti-re
G4,red_to_green_flip,CRITICAL,ja,post-flip verify_attestation_v2 => ATTESTED_GREEN_FOR_EXACT_TREE — no HMAC/signature detects the tamper,scripts/ci_gate.py verify_attestation_v2 (no 
G4,cmd_verify_bypass_via_forged_v1_record,CRITICAL,ja,cmd_verify => 'HEAD deef6d7d4a65 GRUEN attestiert.' — the --no-verify-bypass detector is itself bypassed,scripts/ci_gate.py cmd_verify / _attested_gre
G4,cmd_audit_full_defeat,P0,ja,"audit => '3 Commit(s) geprueft, 0 ohne gruene Attestierung. alle Commits gruen attestiert.' — the tamper-evidence mechanism reports a fully clean hist",scripts/ci_gate.py cmd_audit / _attested_gree
G4,gate_phase_registry_security_guard_suppression,CRITICAL,ja,"all three security phases are dropped ('nicht gegen HEAD') — there is no allowlist restricting which phase_ids may be lifecycle-managed, so a staged r",scripts/run_precommit_quality_gate.py phase_l
G4,forged_parent_commit_accepted,HIGH,ja,"verify => ATTESTED_GREEN_FOR_EXACT_TREE with a fabricated parent — parent_commit is a decorative, unverified field",scripts/ci_gate.py verify_attestation_v2 (par
G4,staleness_detection_defeat,HIGH,ja,verify returns fresh ATTESTED_GREEN_FOR_EXACT_TREE (never STALE) because the compared hashes are attacker-controlled; the freshness signal is meaningl,scripts/ci_gate.py verify_attestation_v2 (gat
G4,ledger_trail_tamper,MEDIUM,ja,audit still => '0 ohne gruene Attestierung' — the ledger is neither integrity-protected nor used for verdicts (detection relies solely on the forgeabl,"scripts/ci_gate.py ledger.csv (append trail, "
G2,TOCTOU-gate-commit-decoupling,P0,ja,VALIDATED-COMMIT: GREEN; committed app.txt=[MALICIOUS BACKDOOR] (tree 3abb238); Dummy-Gate-Log sah [benign approved]; Attestierung status=ATTESTED_GRE,scripts/s11_validated_commit.py:validated_com
G2,vacuous-attestation-tree-binding,CRITICAL,ja,tree_match=True obwohl das Gate einen anderen (benignen) Tree validiert hat; die Invariante ist tautologisch (tree0==tree0) und bindet nicht an die ta,scripts/ci_gate.py:write_attestation_v2/verif
G2,lock-stealing,MEDIUM,partial,"thief erwirbt Lock sofort neu und läuft parallel -> VALIDATED-COMMIT: GREEN (commit f25814c). Der Opfer-Broker committet danach nicht doppelt, weil se",scripts/run_precommit_quality_gate.py:acquire
G2,lock-forgery-DoS,MEDIUM,partial,VALIDATED-COMMIT: FAIL — LOCK: Gate laeuft bereits (PID $P). pid_alive() akzeptiert JEDE lebende PID (auch fremde/EPERM) als gültigen Halter -> perman,scripts/run_precommit_quality_gate.py:acquire
