role_id,attack,method,result,material
B01_asset_completeness,"Recount of absent manifest assets contradicts the baseline: 14/17 are absent inline, not 13. Present manifest-listed assets = exactly 3 (State.json, Register, Decisions). AUTHORITATIVE_CONTEXT_MANIFES","tail -n+2 manifest | wc -l = 17; per-row -f test against the directory: 3 PRESENT, 14 ABSENT; manifest.csv is not self-listed.","Absent count is 14/17, off-by-one worse than the baseline's 13/17. Completeness accounting itself is inconsistent.",MATERIAL_OMISSION
B01_asset_completeness,"The highest-priority tier is majority-absent: 5 of 7 P0_AUTHORITATIVE_HANDOFF assets did not transfer inline (S11_PROJECT_HANDOFF_MASTER.md, S11_EVIDENCE_INDEX.md, S11_FINAL_CLAUDE_FABLE5_CONTROL_PLAN",awk role-column tally (7 P0 rows) cross-referenced with the present/absent -f probe.,The tier explicitly marked P0/authoritative is 2/7 present. The transfer failed most on exactly the assets it declares most critical.,MATERIAL_OMISSION
B01_asset_completeness,"The narrative authorities that DEFINE what 'complete' and 'authoritative context' mean are all absent: Handoff_Master (4408B), Evidence_Index (5084B), Final V3 Prompt (21362B). A manifest is only file","Content inspection: the four inline files carry only state/register/decisions tables, no scoping narrative; the three defining documents are ABSENT per -f probe",There is no inline basis to know whether 17 is the correct target set or what each asset must contain. Completeness is unscoped.,MATERIAL_OMISSION
B01_asset_completeness,"Second, independent completeness authority is absent: S11_PROJECT_TRANSFER_REQUIRED_ASSETS.csv (24219B) is itself the required-assets enumeration and was not transferred inline. The 17-row manifest th","Manifest row present, file ABSENT; no inline copy of the required-assets enumeration to diff against the 17 rows.",Cannot confirm the manifest is the complete/correct manifest. Two authorities that should agree cannot be reconciled inline — a latent divergence that is undetectable.,DIVERGENCE
B01_asset_completeness,Both bundle containers are absent: S11_PROJECT_HANDOFF_PACKAGE_2026-07-12.zip (144525B) and S11_PROJECT_TRANSFER_DUAL_COUNCIL_QC_PACKAGE.zip (31189B). These ZIPs presumably hold the 14 missing members,-f probe: both zip rows ABSENT; no archive available to list or extract inline.,"The missing MD/CSV assets cannot be recovered or independently confirmed from the bundles, which are themselves missing. Circular gap.",MATERIAL_OMISSION
B01_asset_completeness,The manifest has no self-integrity anchor. AUTHORITATIVE_CONTEXT_MANIFEST.csv (on-disk SHA256 20a4c526...) is not listed among its own 17 rows and no declared hash for it exists anywhere inline. The s,shasum of manifest computed; grep of its own filename inside itself = not present; no sibling attestation file.,"A truncated, edited, or substituted manifest would be undetectable inline. Every downstream completeness claim rests on an unverified root.",MATERIAL_OMISSION
B01_asset_completeness,"'Present' does not equal 'verified'. Of the 3 delivered assets, only State.json (6ee04805) is byte-identical to its declared SHA256. Register on-disk ccfac834... != declared 00066473...; Decisions on-",shasum -a 256 of all present files compared to manifest sha column.,Two of the three surviving assets fail their own declared integrity check. The verified-transfer surface is a single JSON.,DIVERGENCE
B01_asset_completeness,"Root cause of the CSV divergence is a non-byte-faithful channel: declared hashes were computed over CRLF variants (5297B = 5271 LF-bytes + 26 lines; 4100B = 4071 + 29 lines), but the inline channel de",wc -c vs manifest size: Register 5271 vs 5297 (Δ26 = line count 26); Decisions 4071 vs 4100 (Δ29 = line count 29); exact one-byte-per-line CRLF delta.,"Even for delivered assets the transfer medium normalizes line endings, so hash-based verification of any text asset over this channel is structurally impossible.",DIVERGENCE
B01_asset_completeness,"The QC apparatus cannot verify its own package membership inline. The QC package manifest (S11_PROJECT_TRANSFER_QC_PACKAGE_MANIFEST.csv), Council A prompt, Council B Claude prompt (this role's own cha",-f probe: all four QC-contract prompt/manifest rows ABSENT.,Council B operates without its authoritative prompt asset; the QC contract's own membership cannot be self-checked. Process continuity from contract to execution is broken.,CONTINUITY_BREAK
B01_asset_completeness,Every one of the 17 manifest rows carries required=yes; there is no optional/waivable tier. Consequently all 14 absences are required-asset failures under the manifest's own criterion — none can be di,"awk on required column: 17x 'yes', 0 optional; intersect with the 14 ABSENT rows.",The absence rate cannot be softened by arguing the missing items were optional. 14 required assets missing.,MATERIAL_OMISSION
B01_asset_completeness,"Direct answer to the mandate question: completeness CANNOT be assessed from the inline channel. With 14/17 required assets absent, no byte-anchor for the manifest itself, the second enumerating author",Synthesis of the above verified facts; no inline artifact provides an independent completeness cross-check.,"Any 'transfer complete' verdict would be unfounded. The correct QC posture is: completeness UNVERIFIABLE inline, not merely 'accounted-by-manifest'.",MATERIAL_OMISSION
B01_asset_completeness,"'Accounted-by-manifest' is being treated as equivalent to 'transferred', but the manifest only asserts existence in some source repo, not inline delivery. 13 (per baseline) / 14 (per recount) assets a","Cross-read of S11_PROJECT_STATE.json invariants (remote_count 0, release_decisions 0, quality_confirmed false, court_ready GESPERRT) against the absent-asset li",The manifest reference is an unbacked promise; there is no inline nor confirmed repo-side proof the 14 assets exist in the attested form claimed.,MATERIAL_OMISSION
B01_asset_completeness,SUPPORTING_AUTHORITATIVE_CONTEXT tier is 0/1: the Control-Plane-V3 reconciliation and controlled-resume prompt (16883B) is absent. Lower materiality than P0 because V3-WIP is frozen (11/11) and resume,-f probe ABSENT; corroborated by frozen-V3 status in the task baseline and JSON blocked_until list.,Noted as a required-asset gap of limited practical impact given the resume freeze.,MINOR
B02_hash_divergence,CRLF-Divergenz Register exakt reproduziert: Platte-LF-SHA=ccfac834 (5271B) != deklariert 00066473 (5297B); perl s/\n/\r\n/ ergibt exakt 5297B und SHA 00066473. Delta +26B = 26 LF-Zeilen. Deklarierter ,shasum -a 256 auf Platte vs. CRLF-konvertierte Kopie; wc -c; grep -c newline,"Deklarierter Hash NUR aus CRLF reproduzierbar, nicht aus dem materialisierten LF-Artefakt",DIVERGENCE
B02_hash_divergence,CRLF-Divergenz Decisions exakt reproduziert: Platte-LF-SHA=f9045adf (4071B) != deklariert 1216a780 (4100B); CRLF-Konversion ergibt exakt 4100B und SHA 1216a780. Delta +29B = 29 LF-Zeilen.,identische CRLF-Reproduktion,"Zweiter unabhaengiger Beleg: deklarierte CSV-Hashes sind CRLF-Bilder, nicht die uebertragenen Bytes",DIVERGENCE
B02_hash_divergence,"Auch die size_bytes-Spalte ist ein Phantom: 5297/4100 sind CRLF-Byte-Zahlen; die materialisierten Dateien haben 5271/4071. Nicht nur der Hash, auch die deklarierte Groesse beschreibt ein nicht-existen",wc -c vs. Manifestspalte,"Zwei Manifestspalten (sha256 + size_bytes) beschreiben ein Bild, das nie materialisiert wurde",DIVERGENCE
B02_hash_divergence,Der Inline-Kanal KANN die deklarierten CSV-Hashes prinzipiell nie reproduzieren: CR-Bytes sind auf Platte nachweislich 0 (grep -c CR = 0). Reproduktion erfordert eine kanal-externe unix2dos-Transforma,grep -c $'\r',"Deklarierte SHA256 ist Pruefsumme der Ursprungsdatei, nicht Integritaetsbeweis des Inline-Artefakts",MATERIAL_OMISSION
B02_hash_divergence,"Manifest hasht INTERN INKONSISTENT: JSON wurde als LF gehasht (CRLF-Version=1356B != deklariert 1317B; LF-Platte=1317B, SHA 6ee04805 matcht), die beiden CSV dagegen als CRLF. Es gibt keine einheitlich",CRLF-Konversion des JSON (=1356B) vs. deklariert 1317B,Manifest ist intern widerspruechlich; Hash-Eingabekonvention undokumentiert und asset-abhaengig,MATERIAL_OMISSION
B02_hash_divergence,"Der 'JSON-Match' der Baseline ist EOL-Policy-Zufall, nicht Kanaltreue. Alle drei Dateien liefen durch denselben LF-Inline-Kanal; JSON matcht nur, weil es zufaellig als LF gehasht wurde. Es ist FALSCH ",Vergleich der drei Kanal-Ausgaben (alle CR=0) gegen ihre je-Asset-Hash-Konvention,"Reframing: Divergenzursache liegt im Manifest-Hashing, nicht im Transferkanal",DIVERGENCE
B02_hash_divergence,"Nur 1 von 17 Manifestzeilen (JSON 6ee04805) ist aus materialisierten Bytes unabhaengig bestaetigbar = 5,9%. 2 divergieren (CSV), 14 sind byte-abwesend. Ein Manifest, dessen 16/17 Hashes man aus den vo",Abgleich Manifestzeilen gegen 4 vorhandene Dateien,94% der Integritaetsclaims nicht verifizierbar,MATERIAL_OMISSION
B02_hash_divergence,"Baseline-Zaehlung korrigiert: 14 (nicht 13) der 17 gelisteten Assets sind byte-abwesend. Materialisiert sind exakt 3 Manifest-Zeilen (JSON, Register, Decisions); das Manifest selbst ist keine eigene Z",Zeilenabgleich rows 2-18 vs. ls,Baseline undercount um 1; 14 Pflicht-Assets ohne Byte-Verifikation,CONTINUITY_BREAK
B02_hash_divergence,"Manifest ist unverankerte Vertrauenswurzel: eigener SHA256 (20a4c526) ist in keiner der vier Dateien deklariert, es existiert keine Signatur / kein .sig/.sha256/.asc-Sidecar. Das Verifikationsorakel s",grep der Manifest-Hash im Verzeichnis; ls auf Sidecar-Endungen,Root of trust ohne Anker/Signatur,MATERIAL_OMISSION
B02_hash_divergence,"Wegen inkonsistenter, undokumentierter EOL-Hash-Politik ist das Manifest als Verifikationsorakel fuer die 14 abwesenden Assets wertlos: waeren die 10 .md-Dateien (viele Zeilenumbrueche) als CRLF gehas",Verallgemeinerung des belegten JSON-LF/CSV-CRLF-Splits auf newline-reiche Assets,Manifest taugt nicht als kuenftiges Verifikationsorakel,MATERIAL_OMISSION
B02_hash_divergence,"Beweis, dass die Divergenz reine EOL ist (CRLF-SHA matcht Ziel exakt) - Inhalt der 2 CSV ist byte-identisch modulo Zeilenende, kein semantischer Verlust. ABER: genau deshalb wuerde ein strenges SHA256",CR-Strip/CRLF-Add Aequivalenzpruefung,"EOL-only-Divergenz, aber jede Hash-Match-Attestierung waere unwahr",DIVERGENCE
B02_hash_divergence,"Manifest fuehrt keine Normalisierungs-Metadaten (keine Spalte fuer encoding, eol, hash-input-normalization). Ohne dokumentierte Hash-Eingabekonvention ist keine der 17 Angaben durch einen Dritten dete","Spaltenanalyse Manifest-Header (relative_path,size_bytes,sha256,artifact_role,required)",Fehlende Provenienz-/Normalisierungsmetadaten machen Reproduktion unmoeglich,MATERIAL_OMISSION
B03_xmr_integrity,Register content is not reproducible against its own declared authoritative hash.,"shasum -a 256 of the materialized S11_CROSS_MODEL_FINDINGS_REGISTER.csv = ccfac834e378...1b72e6cc; manifest declares 00066473...5eb7c19b. Actual size 5271, mani",The inline register cannot be byte-verified against the authoritative SHA256 in AUTHORITATIVE_CONTEXT_MANIFEST.csv; the register's integrity anchor is broken over the transfer channel.,DIVERGENCE
B03_xmr_integrity,The manifest — relied on to 'account for' 13 non-transferred assets — is itself wrong about an asset we can see.,"Manifest row for the register declares size_bytes=5297; actual materialized file is 5271 bytes (26-byte gap = exactly 26 lines, i.e. a CRLF rendering that was n","Because the manifest demonstrably mis-states size+hash for a required P0 asset that is present, its accounting of the 13 assets that are NOT present is unreliable — 'accounted-by-manifest' is not a tr",DIVERGENCE
B03_xmr_integrity,Every one of the 25 findings rests on evidence that was not transferred inline.,"Extracted the evidence column; all references resolve to README_REVIEW.md, *diff, run_precommit_quality_gate.py, s11_validated_commit.py, test_*.py, PRODUCT_CAN",The entire evidence column is a set of dangling pointers. Not a single XMR-CP finding is independently verifiable from the inline transfer — the register's core purpose (auditable substantiation) is u,MATERIAL_OMISSION
B03_xmr_integrity,The single most-cited evidence source is neither transferred nor listed in the authoritative manifest.,README_REVIEW.md is cited by 8 findings. grep of AUTHORITATIVE_CONTEXT_MANIFEST.csv for README_REVIEW returns 0 hits; file absent from directory.,The evidentiary backbone of 8 findings is completely unaccounted — outside both the inline channel and the 17-asset manifest — so those findings cannot ever be reconciled from the declared authoritati,MATERIAL_OMISSION
B03_xmr_integrity,"A CRITICAL bypass finding is substantiated solely by a missing, unmanifested file.",Filtered findings whose sole evidence is README_REVIEW.md: XMR-CP-011 (CRITICAL — direct git commit-tree/update-ref bypasses the broker) and XMR-CP-025 (MEDIUM),"The highest-impact commit-bypass finding has zero transferred and zero manifested substantiation, resting entirely on an artifact that does not exist in the authoritative context.",MATERIAL_OMISSION
