run_id,beschreibung,gestartet,status,notiz
wf_6d61ed2a-841,P0-G-Backup-Red-Team (36 Agenten),2026-07-06,COMPLETE,abgeschlossen VOR Commit b838fbe — regelkonform
wf_871781eb-224,Berufstraeger-Gate-Red-Team (18 Agenten),2026-07-06,COMPLETE,"PROZESSABWEICHUNG: Commit aafa61d 11:59:57Z lag IM Fenster 11:59:32-12:15:22Z (EF-06 verletzt, dokumentiert im Audit)"
wf_fc7536d8-7d7,Evidence-First-Gremium (21 Rollen),2026-07-06,COMPLETE,21 Rollen-Antworten persistiert VOR Commit dieses Laufs — regelkonform (EF-06)
wf_T001_redteam,Red-Team Snapshot-Freshness-Guard (T-001),2026-07-06,COMPLETE,"2 HIGH blocking als BLOCKING_SUBFIX behoben (BYPASS-01/02), 3 nicht-blocking als T-008..T-010 registriert; Commit erst danach (EF-06/EF-08 eingehalten)"
wf_PPT_council,21er-Gremium Prompt-Pattern-Adoption,2026-07-06,COMPLETE,"21 Rollen persistiert (CODING_DATA_PROMPT_PATTERN_COUNCIL_REVIEW); Erstlauf wf_1ca15d4f stillgestanden, schlanker Nachlauf wf_c58dd6e6 verwendet"
wf_DDR001_councilAB,DDR-001 Gremium A (Fach) + B (Technik) + Kreuzkontrolle,2026-07-06,COMPLETE,"A=42 B=42 QC=14 persistiert; offene HIGH/CRITICAL=9 (nicht blockierend, Konzeptlauf; Umsetzung an DDR-002ff.)"
wf_DDR002_councilAB,DDR-002 Gremium A (Fach) + B (Technik) + Double-QC,2026-07-06,COMPLETE,"A=12 B=13 QC=10; 0 offene HIGH/CRITICAL (Kernluecken Provenienz/Append-Only/Stichtag als BLOCKING_SUBFIX geschlossen, Rest DDR-010..014)"
wf_DDR010_councilAB,DDR-010 Gremium A (Fach) + B (Technik) + Double-QC,2026-07-07,COMPLETE,"A=12 B=12 QC=8; 0 offene HIGH/CRITICAL (Ingestion-Authentizitaet/Bitemporal/Completeness als BLOCKING_SUBFIX geschlossen, tiefe Umsetzung DDR-015/016/017)"
wf_DDR003_councilAB,DDR-003 Gremium A (Fach 6) + B (Technik 6) + Double-QC,2026-07-07,COMPLETE,A=12 B=12 QC=11; 16 blockierende Findings alle als BLOCKING_SUBFIX geschlossen; 0 offene HIGH/CRITICAL; tiefe Umsetzung DDR-018/019/020
wf_S11PS861001_councilAB,S11-PS861-001 Gremium A (Fach 10) + B (IT/KI 10) + Double-QC,2026-07-07,COMPLETE,A=20 B=19 QC=11; 20 blockierend (2 CRITICAL) alle als BLOCKING_SUBFIX geschlossen; 0 offene HIGH/CRITICAL
wf_S11PS861002_councilAB,S11-PS861-002 Gremium A (Fach 8) + B (IT 8) + Double-QC,2026-07-07,COMPLETE,"A=18 B=16 QC=11; alle HIGH/CRITICAL sind ""blocking fuer Produktivbetrieb"" (nicht fuer diese Enforcement-Ebene) -> P0-Scope S11-PS861-003; Schicht als Architektur-Fundament abgenommen; 0 offen fuer Abnahme dieser Ebene"
wf_S11PS861003_councilAB,S11-PS861-003 Gremium A (Fach 8) + B (IT 8) + Double-QC,2026-07-07,COMPLETE,"A=17 B=13 QC=7; Lauf beendet. WARNUNG: 7 architektur-blockierende Findings (CRITICAL Nicht-Verkabelung, HIGH Path-Traversal/case_id/SAFE_FRAME/enum-Provenienz) NICHT behoben — als WIP-Checkpoint committet auf ausdrueckliche Nutzeranweisung; Abschluss-Subfix ausstehend"
wf_S11PS861003_subfix_councilAB,S11-PS861-003 BLOCKING-SUBFIX Gremium A (WP/PIE 3) + B (IT/PIE 3) + Double-QC,2026-07-07,COMPLETE,A=9 B=7 QC=6; Runde 1 fand DEFECT-004/005 noch offen -> behoben; Bestaetigungs-Runde 2 folgt vor Commit
wf_S11PS861003_subfix_round2,S11-PS861-003 SUBFIX Bestaetigungs-Runde 2 (DEFECT-004/005 nachgehaertet),2026-07-07,COMPLETE,"A=9 B=9 QC=8; VERDIKT: DEFECT-001/002/003 geschlossen, DEFECT-004/005 STRUKTURELL OFFEN (Muster-Enumeration unzureichend); KEIN Abschluss — WIP-Checkpoint auf Nutzeranweisung"
wf_S11PS861003R_round1,S11-PS861-003R Redesign Runde 1 (WP/PIE + IT/PIE),2026-07-07,COMPLETE,"A=11 B=13 QC=6; 8 HIGH gefunden (domaenen-neutral, Praesupposition, method_family-Relabel) -> alle Runde-1-Fix geschlossen; Bestaetigungs-Runde 2 folgt"
wf_S11PS861003R_round2,S11-PS861-003R Bestaetigungs-Runde 2 (Runde-1-Fixes attackieren),2026-07-07,COMPLETE,"A=9 B=12 QC=7; 18 neue HIGH (Meta-Safe-blind, Kanal-Allowlist-fail-open, unattestierte instance-id) -> alle Runde-2-Fix geschlossen; Bestaetigungs-Runde 3 folgt"
wf_S11PS861003R_round3,S11-PS861-003R Bestaetigungs-Runde 3 (Runde-2-Fixes attackieren),2026-07-07,COMPLETE,A=9 B=9 QC=7; DEFECT-005 bestaetigt geschlossen; DEFECT-004 8 HIGH (Kanal-String-Spoof) -> Runde-3-Fix geschlossen; Bestaetigungs-Runde 4 folgt
wf_S11PS861003R_round4,S11-PS861-003R Bestaetigungs-Runde 4 (Runde-3-Fix attackieren),2026-07-07,COMPLETE,A=9 B=9 QC=8; DEFECT-005 bestaetigt geschlossen; DEFECT-004 4 HIGH (ko-resident Wrapper+Determination) -> Runde-4-Fix geschlossen; Bestaetigungs-Runde 5 folgt
wf_S11PS861003R_round5,S11-PS861-003R Bestaetigungs-Runde 5 (ko-resident-Fix attackieren),2026-07-07,COMPLETE,"A=9 B=9 QC=7; DEFECT-005 unanim geschlossen; DEFECT-004 7 HIGH (Content-Obfuskation, inhaerente Enumerationsgrenze) -> STOP: kein weiteres Muster-Flicken, architektonische Schliessung (Human-Review-Gate) noetig; Status PARTIAL/BLOCKED, KEIN Completion"
wf_S11PS861005_councilAB,S11-PS861-005 Gremium A (WP/PIE 3) + B (IT/PIE 3) + Double-QC,2026-07-07,ABORTED,Auf ausdrueckliche User-Anweisung vor Rueckkehr abgebrochen und als WIP committet; Gremien-Verdikt NICHT eingeholt -> KEINE Completion, DEFECT-004-Schliessung NICHT gremiengeprueft; Gremien-Neulauf zwingend vor Completion-Commit
wf_S11PS861005_completion_councilAB,S11-PS861-005 Completion-Run Gremium A (WP/PIE 3) + B (IT/PIE 3) + Double-QC,2026-07-08,COMPLETE,"A=51 (3x COMPLETION_VERTRETBAR, 0 blockierend) B=51 (2x PARTIAL_BLOCKED, 4 blockierende HIGH) QC=14 (beide Richtungen PARTIAL_BLOCKED); VERDIKT: PARTIAL_BLOCKED — 1 offenes code-verifiziertes HIGH (QC-005-01 Mutationserkennung nur deklarativ) + QC-005-04/-06; KEIN Completion-Commit; Findings persistiert (COUNCIL_A/B_COMPLETION_REVIEW, DOUBLE_QC_COMPLETION); Remediation-Lauf erforderlich"
wf_S11PS861005_rem_councilAB,S11-PS861-005 Remediation Re-Review Gremium A+B (nur QC-005-01/-04/-06) + Double-QC,2026-07-08,COMPLETE,"A=30 (3x COMPLETION_VERTRETBAR, 0 HIGH/CRITICAL) B=30 (3x COMPLETION_VERTRETBAR, 0 HIGH/CRITICAL) QC=15+FINALs (beide Richtungen COMPLETION_ALLOWED); QC-005-01/-04/-06 GESCHLOSSEN; Findings persistiert (REMEDIATION_COUNCIL_A/B_REVIEW, REMEDIATION_DOUBLE_QC) VOR Commit — regelkonform (EF-06)"
wf_DDR004_councilAB,DDR-004 Gremium A (WP/S11 3) + B (IT/Data/AI 3) + Double-QC,2026-07-08,COMPLETE,"A=30 B=27 (je 3x COMPLETION_VERTRETBAR, 0 HIGH/CRITICAL) QC=9+FINALs (beide Richtungen COMPLETION_ALLOWED); 3 MEDIUM nicht-blockierend als Integrationslauf-Auflagen dokumentiert (Schwellen-Schichtung, Scanner-Heuristik, stille Rundung); Findings persistiert VOR Commit — regelkonform (EF-06)"
wf_DDR004INT_councilAB,DDR-004 Parser-Integration Gremium A (WP/S11 3) + B (IT/Data/AI 3) + Double-QC,2026-07-08,COMPLETE,"Runde 1: A=24 (3x vertretbar) B=24 (1x vertretbar/2x PARTIAL_BLOCKED) QC=11 (beide Richtungen PARTIAL_BLOCKED); 1 bestaetigter HIGH (QC-01 Cross-Doc-Binding) + CONF-02 als BLOCKING-SUBFIX behoben, CONF-03/-04 nachgehaertet; Findings persistiert VOR Commit; Bestaetigungsrunde 2 folgt (EF-06)"
wf_DDR004INT_round2,DDR-004 Parser-Integration Bestaetigungsrunde 2 (nur QC-01/CONF-02-Fixes attackieren),2026-07-08,COMPLETE,"V=14 Findings QC=7; R1-Fixes bestaetigt geschlossen; 2 NEUE HIGH per Eigenangriff (Full-Swap, build_cell-Konfidenz-Default) + NaN-Robustheit + Testlage-Hygiene -> alle als BLOCKING-SUBFIX behoben (Tests 327-332); Runde 3 folgt (EF-06)"
wf_DDR004INT_round3,DDR-004 Parser-Integration Bestaetigungsrunde 3 (nur R2-Fixes attackieren),2026-07-08,COMPLETE,"V=8 Findings (2x COMPLETION_VERTRETBAR) QC=4; alle drei R2-Fixes einstimmig GESCHLOSSEN (eigene Angriffe), 0 HIGH/CRITICAL; QC-Final COMPLETION_ALLOWED; Findings persistiert VOR Commit — regelkonform (EF-06)"
wf_DDR004PLB_councilAB,DDR-004 Produktiv-Ledger-Anbindung Gremium A (WP/S11 3) + B (IT/Data/AI 3) + Double-QC,2026-07-08,COMPLETE,"A=30 B=30 (je 3x COMPLETION_VERTRETBAR, 0 HIGH/CRITICAL, 0 blockierend) QC beide Richtungen COMPLETION_ALLOWED; 2 LOW-Folgeauflagen fuer den realen DDR-010-Anschluss dokumentiert (replay_kind-Zwang, non-empty-Chain); Findings persistiert VOR Commit — regelkonform (EF-06)"
