finding_id,quelle,severity,finding,v3_remediation,status
CODE-F1,ChatGPT-Codereview,HIGH,Broker aktualisiert Branch-Ref VOR Attestierung -> Branch kann ohne gueltige Attestierung weitergeschaltet sein,V3-Broker attestiert ZUERST (Ed25519) und schreibt DANN nur eine Candidate-Ref; aktive Branch wird nie promoted,CLOSED (test d1/d2)
CODE-F2,ChatGPT-Codereview,HIGH,"WPNO_GATE_SELFTEST ersetzt gesamte Phasenliste; fehlende aktive Testskripte nur [SKIP], nicht FAIL",V3-Content/State-Gate nutzt KEINEN Selftest-Bypass (liest Git-Objekte); gate_manifest_hash macht MISSING sichtbar (fail-closed-Signal). RESTPUNKT: der ALTE run_precommit_quality_gate behaelt Selftest/SKIP — im V3-Pfad nicht mehr autoritativ,PARTIAL (V3-Pfad closed; Alt-Gate-Bypass dokumentiert)
CODE-F3,ChatGPT-Codereview,HIGH,Scope-Guard vergleicht Produktreferenz mit HEAD statt Candidate-Tree; Namensheuristik unvollstaendig,scope_guard_candidate_tree difft Produktreferenz..CANDIDATE-TREE (git diff ref tree); Praefix-Matching der Produktpfade,CLOSED (test c1)
CODE-F4,ChatGPT-Codereview,HIGH,HMAC-Schluessel in derselben Vertrauensdomaene wie Produktagent; kein getrennter Signer,"Attestation V3: Ed25519 (asymmetrisch), privater Key im getrennten Signer-Ort, oeffentlicher Key im Repo -> Verifikation ohne Geheimnis, Faelschung nur mit Privatkey. RESTPUNKT (CPR-007): Einzelnutzer-Maschine, echte Domaenentrennung = OS-Nutzer/Keychain/HW-Token (operativ)",PARTIAL (Asymmetrie closed; OS-Domaenentrennung operativ offen)
CPR-001,Bundle-README,HIGH,Keine Trennung CONTENT_GATE/STATE_GATE,s11_content_state_gate.py: content_gate (nur Git-Blobs) + state_gate (Repo-Zustand) getrennt,CLOSED (test b1/b2)
CPR-002,Bundle-README,HIGH,Working==Index != Byte-Identitaet (gitattributes/filter/EOL/LFS/sparse),content_gate liest Blobs direkt via git cat-file (keine Working-Tree-Filterung); Working-Tree-Manipulation ohne Effekt (test b1),CLOSED fuer content_gate; Filter-Randfaelle unabh. zu pruefen
CPR-003,Bundle-README,HIGH,Untracked/ignored Input-Kanal,content_gate liest ausschliesslich Tree-Blobs; STATE-abhaengige Checks getrennt. RESTPUNKT: vollstaendige Erfassung ALLER externen Gate-Inputs noch offen,PARTIAL
CPR-004,Bundle-README,MEDIUM,Umgebungs-Input nicht gebunden,"Attestation V3 binding.env: python/git-version, platform, PATH/PYTHONPATH-Hash, locale, TZ",CLOSED (im Record)
CPR-005,Bundle-README,HIGH,"Mutation waehrend Gate (Mischzustand lesen, zuruecksetzen)",content_gate gegen unveraenderliche Git-Blobs (Tree-OID); keine Working-Tree-Lesung -> Mutation-waehrend-Gate ohne Effekt auf content_gate,CLOSED fuer content_gate
CPR-006,Bundle-README,HIGH,HMAC symmetrisch,Ed25519 asymmetrisch (siehe CODE-F4),CLOSED (Asymmetrie)
CPR-007,Bundle-README,HIGH,Signing-Key im Zugriff des Produktagenten,getrennter Signer-Ort; pubkey im Repo. RESTPUNKT: OS-Domaenentrennung operativ,PARTIAL (dokumentiert)
CPR-008,Bundle-README,MEDIUM,Attestierungsinputs unvollstaendig,"binding: candidate_tree, parent, gate_manifest_hash, policy_versions, env. RESTPUNKT: Lockfile/Tool-Hashes/Seeds noch nicht vollstaendig",PARTIAL
CPR-009,Bundle-README,MEDIUM,V1-Legacy-Trust,"V3 ist neue, getrennte Kette (v3.json + ledger_chain); V1/V2 nicht autoritativ fuer V3-Eligibility",CLOSED fuer V3-Kette
CPR-010,Bundle-README,HIGH,PENDING blockiert Produktkette nicht hart,getrennte Achse product_chain_eligible; RESTPUNKT: harter Produkt-Commit-Guard (parent!=eligible->BLOCKED) noch als Guard zu verankern,PARTIAL
CPR-011,Bundle-README,HIGH,Direkte Git-Plumbing-Umgehung,V3-Broker einziger attestierter Pfad; direkter commit/update-ref bleibt lokal moeglich -> als UNATTESTED zu behandeln. RESTPUNKT: Detektion,PARTIAL (ehrliche lokale Grenze)
CPR-012,Bundle-README,MEDIUM,Commit-Hook-Funktionsaequivalenz,commit-tree umgeht Hooks; V3-Broker fuehrt Gates+Attestierung selbst aus. RESTPUNKT: vollstaendige Hook-Aequivalenz-Liste,PARTIAL
CPR-013,Bundle-README,LOW,Gate-Phase-Lifecycle,aus V2 uebernommen (DEMOTABLE_PHASES); im V3-Pfad Content/State getrennt,CARRIED
CPR-014,Bundle-README,MEDIUM,Historische Attestierungsdauerhaftigkeit,hashverkettetes Ledger + tree-gebunden; Bruch erkennbar (test e2),CLOSED (Kette)
CPR-015,Bundle-README,LOW,Absent-but-listed Artefakte,V3 fuegt keine erfundenen Artefakte hinzu; Register dokumentiert,CARRIED
