freeze_id,source_path,target_path,size_bytes,sha256_before,sha256_after,hash_match,mtime_before,mtime_after,artifact_class,must_preserve,status
FRZ-001,reports/ACTIVE_REDTEAM_RUNS.csv,frozen_qc_artifacts/reports__ACTIVE_REDTEAM_RUNS.csv,13538,e2b88adcaef4cd45e6c642000e1727ba343cdea62e111888d7f18f4e8747be0e,e2b88adcaef4cd45e6c642000e1727ba343cdea62e111888d7f18f4e8747be0e,true,1783858544,1783858544,recheck_report,true,FROZEN
FRZ-002,reports/S11_PS861_006D_ALLOWLIST_EVIDENCE_TRIBUNAL.csv,frozen_qc_artifacts/reports__S11_PS861_006D_ALLOWLIST_EVIDENCE_TRIBUNAL.csv,972,b6ede9a3a44b6a53ee856cb6c65ac1725c07e71af7c5eddba88b8c6d4482296d,b6ede9a3a44b6a53ee856cb6c65ac1725c07e71af7c5eddba88b8c6d4482296d,true,1783857893,1783857893,recheck_report,true,FROZEN
FRZ-003,reports/S11_PS861_006D_ALLOWLIST_EVIDENCE_TRIBUNAL.md,frozen_qc_artifacts/reports__S11_PS861_006D_ALLOWLIST_EVIDENCE_TRIBUNAL.md,602,48379d7c43b2b1392dd29895d41f0bfd32d6d033ed7bbb620419bcbb4ec5950a,48379d7c43b2b1392dd29895d41f0bfd32d6d033ed7bbb620419bcbb4ec5950a,true,1783857893,1783857893,recheck_report,true,FROZEN
FRZ-004,reports/S11_PS861_006D_ALLOWLIST_FINDING_RECONCILIATION.csv,frozen_qc_artifacts/reports__S11_PS861_006D_ALLOWLIST_FINDING_RECONCILIATION.csv,8986,71f81d95ace85c00685a18d69b550caa8e0dccc1e317ae7b28d5115129af085b,71f81d95ace85c00685a18d69b550caa8e0dccc1e317ae7b28d5115129af085b,true,1783858266,1783858266,reconciliation,true,FROZEN
FRZ-005,reports/S11_PS861_006D_ALLOWLIST_NOVEL_ATTACKS.csv,frozen_qc_artifacts/reports__S11_PS861_006D_ALLOWLIST_NOVEL_ATTACKS.csv,3452,e872431a7427cec4f09a1dcec38d02eedd07a4d4fc9773040498ad6d99c984b9,e872431a7427cec4f09a1dcec38d02eedd07a4d4fc9773040498ad6d99c984b9,true,1783858266,1783858266,recheck_report,true,FROZEN
FRZ-006,reports/S11_PS861_006D_ALLOWLIST_NOVEL_ATTACKS.md,frozen_qc_artifacts/reports__S11_PS861_006D_ALLOWLIST_NOVEL_ATTACKS.md,552,418e0d203e301f8dd7c6d00df80bf7a59061730d24811f6f9a4485b1e28d9424,418e0d203e301f8dd7c6d00df80bf7a59061730d24811f6f9a4485b1e28d9424,true,1783858266,1783858266,recheck_report,true,FROZEN
FRZ-007,reports/S11_PS861_006D_ALLOWLIST_RECHECK_BASELINE.csv,frozen_qc_artifacts/reports__S11_PS861_006D_ALLOWLIST_RECHECK_BASELINE.csv,743,dbf1a35702a11bcb45b1e28c5a832ea69e67455d862dc712f1e904799e40a9cd,dbf1a35702a11bcb45b1e28c5a832ea69e67455d862dc712f1e904799e40a9cd,true,1783848743,1783848743,recheck_report,true,FROZEN
FRZ-008,reports/S11_PS861_006D_ALLOWLIST_RECHECK_BASELINE.md,frozen_qc_artifacts/reports__S11_PS861_006D_ALLOWLIST_RECHECK_BASELINE.md,1322,b80ff11ba5c053ddaa3025e98fb0a3236bbb79f51b50e45e3da51602b3b1ceb0,b80ff11ba5c053ddaa3025e98fb0a3236bbb79f51b50e45e3da51602b3b1ceb0,true,1783848743,1783848743,recheck_report,true,FROZEN
FRZ-009,reports/S11_PS861_006D_ALLOWLIST_RECHECK_DETERMINISTIC_FINDINGS.csv,frozen_qc_artifacts/reports__S11_PS861_006D_ALLOWLIST_RECHECK_DETERMINISTIC_FINDINGS.csv,7690,329078f1687e9bba41f48123956e1269dfd722840b8854e5cfe7d79cee17e6aa,329078f1687e9bba41f48123956e1269dfd722840b8854e5cfe7d79cee17e6aa,true,1783858129,1783858129,recheck_report,true,FROZEN
FRZ-010,reports/S11_PS861_006D_ALLOWLIST_RECHECK_L99_DECISION.csv,frozen_qc_artifacts/reports__S11_PS861_006D_ALLOWLIST_RECHECK_L99_DECISION.csv,2554,5466b9b4e9b7a83ce5a4b622bb2758e3cbc7a3182ce85f268d08a25a761d5238,5466b9b4e9b7a83ce5a4b622bb2758e3cbc7a3182ce85f268d08a25a761d5238,true,1783858307,1783858307,l99,true,FROZEN
FRZ-011,reports/S11_PS861_006D_ALLOWLIST_RECHECK_L99_DECISION.md,frozen_qc_artifacts/reports__S11_PS861_006D_ALLOWLIST_RECHECK_L99_DECISION.md,2647,3f38b6fb6fbbb1a7e619373eccaf7def8a481bb557cfd27bb3db4ec09988f77f,3f38b6fb6fbbb1a7e619373eccaf7def8a481bb557cfd27bb3db4ec09988f77f,true,1783858307,1783858307,l99,true,FROZEN
FRZ-012,reports/S11_PS861_006D_ALLOWLIST_RECHECK_STOP.md,frozen_qc_artifacts/reports__S11_PS861_006D_ALLOWLIST_RECHECK_STOP.md,2271,0601acbff21b29b10687458764f3fafa57947fcc68bd04fbb37b746ca64cd0e6,0601acbff21b29b10687458764f3fafa57947fcc68bd04fbb37b746ca64cd0e6,true,1783858544,1783858544,recheck_report,true,FROZEN
FRZ-013,reports/S11_PS861_006D_ALLOWLIST_RECHECK_TEST_QUALITY.csv,frozen_qc_artifacts/reports__S11_PS861_006D_ALLOWLIST_RECHECK_TEST_QUALITY.csv,1108,03d877e551adc33e7ec485ab6d75724db46f6770a50337b156493f385895bb1f,03d877e551adc33e7ec485ab6d75724db46f6770a50337b156493f385895bb1f,true,1783849061,1783849061,recheck_report,true,FROZEN
FRZ-014,reports/S11_PS861_006D_RECHECK_ASSURANCE_COUNCIL_A.csv,frozen_qc_artifacts/reports__S11_PS861_006D_RECHECK_ASSURANCE_COUNCIL_A.csv,22657,81cde2c74917a6232fd465814312e6cac7bb3799c4ff399384c3bbf165a5efe1,81cde2c74917a6232fd465814312e6cac7bb3799c4ff399384c3bbf165a5efe1,true,1783857893,1783857893,council,true,FROZEN
FRZ-015,reports/S11_PS861_006D_RECHECK_BREAKER_COUNCIL_B.csv,frozen_qc_artifacts/reports__S11_PS861_006D_RECHECK_BREAKER_COUNCIL_B.csv,35532,f3332df4b813e6be7b39d4a46d6483a7b45c61b517dd3b1c1e6ab5aa7639c1aa,f3332df4b813e6be7b39d4a46d6483a7b45c61b517dd3b1c1e6ab5aa7639c1aa,true,1783857893,1783857893,council,true,FROZEN
