artifact,transfer,size,sha256,bytes_verified
S11_CROSS_MODEL_FINDINGS_REGISTER.csv,INLINE,5271,ccfac834e378aceed01eff8b7649b819b96aa9edec312609688f019f1b72e6cc,yes
S11_PROJECT_TRANSFER_CRITICAL_DECISIONS.csv,INLINE,4071,f9045adf8b695925b4ef211c126940fedba42ed34656abd20254fc4d50da98fb,yes
AUTHORITATIVE_CONTEXT_MANIFEST.csv,INLINE,2435,20a4c526bd82932a6cd1c84cc07001572b4c88ff50f970a3165d03a7af1e0d40,yes
S11_PROJECT_STATE.json,INLINE,1317,6ee04805395638409f8929ff647e19035bc030bf2faad4aba8a67b1bdbbea337,yes
S11_PROJECT_HANDOFF_MASTER.md,MANIFEST_ONLY,4408,"25cbf6edc014ee985f09cfd87910b13b1ce1a63f5934684edfef7d98505e527b (deklariert, nicht reproduziert)",no
S11_EVIDENCE_INDEX.md,MANIFEST_ONLY,5084,"e991e3c86078b56cbb3390665db33f7a910142fd026b853ac9b84197b2fd7ad7 (deklariert, nicht reproduziert)",no
S11_FINAL_CLAUDE_FABLE5_CONTROL_PLANE_V3_PROMPT.md,MANIFEST_ONLY,21362,"9bc662b50cbaf1bc9d948494fd464f619ad8650193b41d51ab7a540f6a271d2e (deklariert, nicht reproduziert)",no
S11_NEW_CHAT_BOOTSTRAP.md,MANIFEST_ONLY,1343,"155ed79c36fea70e83dd054fcfe3cb8912686dc6a39eef49be0f0f11e9773854 (deklariert, nicht reproduziert)",no
S11_NEW_PROJECT_BOOTSTRAP_V2.md,MANIFEST_ONLY,1016,"74b69c895aa90634d39c6f29b64021fca1b2c4c8fc04b9c22421d9c609cdd8b3 (deklariert, nicht reproduziert)",no
S11_PROJECT_HANDOFF_PACKAGE_2026-07-12.zip,MANIFEST_ONLY,144525,"09222a06a237fe768a28f713f1d6cac6671f5e54dafd0638b36fef56259bd462 (deklariert, nicht reproduziert)",no
S11_PROJECT_TRANSFER_REQUIRED_ASSETS.csv,MANIFEST_ONLY,24219,"23a59931754b2bdef0a97695cefc6e4129ab2591d7d9640cad726a7beb8f4385 (deklariert, nicht reproduziert)",no
S11_PROJECT_TRANSFER_DUAL_COUNCIL_QC_MASTER.md,MANIFEST_ONLY,1988,"ca26cb341bde8a82ffff4fdda254723784c42b83e45d920842e6194b0475f24d (deklariert, nicht reproduziert)",no
S11_PROJECT_TRANSFER_COUNCIL_A_PROMPT.md,MANIFEST_ONLY,4455,"ac205be6e994c9909f0100156afee4725637b0bb8738b7facc0b90fda9e32818 (deklariert, nicht reproduziert)",no
S11_PROJECT_TRANSFER_COUNCIL_B_CLAUDE_PROMPT.md,MANIFEST_ONLY,2752,"6669aba9d8580670911d6a054b49dff3db04634a0425c5792f3ac4ddc03a7faf (deklariert, nicht reproduziert)",no
S11_PROJECT_TRANSFER_EVIDENCE_TRIBUNAL_PROMPT.md,MANIFEST_ONLY,2518,"2a1e12f285daa1fcdaa9ffbc03a8e638c87111807399ec6a7a61b3f4ba43d6e4 (deklariert, nicht reproduziert)",no
S11_PROJECT_TRANSFER_QC_PACKAGE_MANIFEST.csv,MANIFEST_ONLY,1469,"573b990cbf2c54b236e6ba31e43c4c8ec8c65eaf8dd539f5d1f06f39e5910f50 (deklariert, nicht reproduziert)",no
S11_PROJECT_TRANSFER_DUAL_COUNCIL_QC_PACKAGE.zip,MANIFEST_ONLY,31189,"73eea2c058383913e52e2322f39ef7dac950467d4ca1f75a78301e42f028a222 (deklariert, nicht reproduziert)",no
S11_CONTROL_PLANE_V3_AUTHORITATIVE_CONTEXT_RECONCILIATION_AND_CONTROLLED_RESUME_PROMPT.md,MANIFEST_ONLY,16883,"5aa629d13b3378c36de59d77a19c3a90d1a0b7c2408398f43581b0263f11d43e (deklariert, nicht reproduziert)",no
