finding_id,achse,severity,befund,beleg,reproduziert,l99_effect,fix_trigger
RCK2-01,staged_blob_security,P0,"Guards pruefen den WORKING TREE (B.repdir()), git committet den INDEX/STAGED BLOB; sauberer Working-Tree kann gruen sein waehrend boeser Blob committet wird",reports/recheck_qc/staged_blob_poc.py -> STAGED_BLOB_GAP_REPRODUCED=True,ja,BLOCK,S11_PS861_006D_STAGED_BLOB_AND_TOCTOU_BINDING_FIX
RCK2-02,toctou_security,P0,Keine Bindung der geprueften Hashes an den Commit-Tree; Datei kann nach Validierung/vor Commit geaendert werden (gleiche Wurzel wie RCK2-01),identisch reproduziert via staged_blob_poc; keine atomare Blob->Commit-Bindung im Gate,ja,BLOCK,S11_PS861_006D_STAGED_BLOB_AND_TOCTOU_BINDING_FIX
RCK2-03,meta_field_security,HIGH,META-Grammatik ist rein STRUKTURELL: der ISO-Regex akzeptiert semantisch unmoegliche Zeitpunkte (Monat 13: 2026-13-01T00:00:00Z),reports/recheck_qc/property_metamorphic_independent.py P3 FAIL,ja,BLOCK,S11_PS861_006D_META_SEMANTIC_VALIDATION_FIX
RCK2-04,schema_correctness,MEDIUM,"Frozen-Set-Pruefung normalisiert Whitespace statt byte-exakt; Wert mit Trailing-Space wird akzeptiert -> Claim ""vollstaendig eingefroren"" ist unpraezise",property_metamorphic_independent.py P1+M1 FAIL (Gewerbesteuer (Kommunalkasse) mit Leerzeichen),ja,WARN,S11_PS861_006D_META_SEMANTIC_VALIDATION_FIX
RCK2-05,test_quality,HIGH,Mutation-Score 71% (5/7); kritischer Ueberlebender S4: die ftyp-Magic-Erkennung (MP4/MOV/HEIC) hat KEINEN Test -> Regression bliebe unentdeckt,reports/recheck_qc/mutation_harness.py -> critical_survived_mutants=[S4_drop_ftyp_magic],ja,BLOCK,S11_PS861_006D_TEST_QUALITY_MUTATION_FIX
RCK2-06,test_quality,HIGH,Oracle-Abhaengigkeit: Hardening-Tests importieren den Produkt-Validator (18 Aufrufstellen) als Oracle; subtile Mutationen teilweise unsichtbar,grep _s11_006d_spec_validator in tests/test_s11_ps861_006d_allowlist_hardening.py = 18 Aufrufe,ja,BLOCK,S11_PS861_006D_INDEPENDENT_ORACLE_TESTS_FIX
RCK2-07,schema_correctness,HIGH,"Schema wurde EMPIRISCH aus den vorhandenen Artefakten abgeleitet; kein unabhaengiger Fachrichtigkeits-Nachweis der eingefrorenen Werte -> ein eingefrorener Fachfehler bleibt konserviert (Berufstraegerpruefung erforderlich, ausserhalb KI)",build-Herkunft der SPEC_ONLY_SCHEMA.json aus committed Artefakten; kein Berufstraeger-Sign-off,ja (Herkunft),BLOCK,S11_PS861_006D_BERUFSTRAEGER_SCHEMA_CORRECTNESS_REVIEW
RCK2-08,reproducibility,MEDIUM,Keine erfasste Lauf-Provenienz (Run-ID/Prompt-Hash/Modellversion/Tool-Version/Input-Manifest/Output-Hash) fuer die 006D-Artefakte -> spaetere Modellversionsdrift nicht erkennbar,kein Provenienzfeld in SPEC-Artefakten/Manifest,ja,WARN,S11_PS861_006D_RUN_PROVENANCE_FIX
RCK2-09,no_case_values (§203),CRITICAL,ID-Feld-Falldatenschmuggel: nach id_prefix-Match kehrt validate_cell ohne Falldaten-Scan zurueck; IBAN + Firmenname (Mandatsdaten) passieren jede Guard,"property/independent: DE89..IBAN + ""Midas Shop Service GmbH"" im ID-Feld DURCHGELASSEN; A7/B3/B12 bestaetigt",ja,BLOCK,S11_PS861_006D_ID_META_CASE_DATA_CHANNEL_FIX
RCK2-10,no_case_values (§203),CRITICAL,META-Freetext-Schmuggel: Regex ^UNREVIEWED( \(fail-closed[^)]*\))?$ matcht beliebigen Klammerinhalt; Betrag+Datum+Steuernr passieren,"independent: ""UNREVIEWED (fail-closed 250.000,00 EUR 15.03.2024 St-Nr ...)"" DURCHGELASSEN; B12",ja,BLOCK,S11_PS861_006D_ID_META_CASE_DATA_CHANNEL_FIX
RCK2-11,closed_allowlist,CRITICAL,Ausgabeflaeche NICHT geschlossen: closed_spec/no_case_values pruefen nur die 10 Top-Level-Basenamen; neue/Unterordner/tiefe Geschwister-CSV/MD/JSON mit Falldaten ungeprueft,B12 UNVALIDATED_SIBLING/SUBDIR/DEEP/JSON/MD; grep SPEC_ARTIFACTS in check_006d_closed_spec_schema.py,ja,BLOCK,S11_PS861_006D_CLOSED_OUTPUT_SURFACE_FIX
RCK2-12,schema_correctness,HIGH,Schema-Trust-Root ungebunden: Validator laedt Schema-JSON aus dem WORKING TREE ohne Integritaetsbindung; geaenderte/unbekannte Schema-Version NICHT fail-closed,"B2/B5 schema-swap: erweitertes Schema -> closed_spec akzeptiert PAYROLL_LEAK-Wert, Verstoesse=0",ja,BLOCK,S11_PS861_006D_SCHEMA_INTEGRITY_PIN_FIX
RCK2-13,staged_blob_security,P0,"Variante: SPEC-Datei nach git add aus dem Working-Tree entfernt -> os.walk des Guards sieht sie nicht, boeser Blob wird committet",B4 staged-datei-aus-worktree-entfernt; A2/A4/A8/B5 reproduzieren staged-blob auf realen Guards,ja,BLOCK,S11_PS861_006D_STAGED_BLOB_AND_TOCTOU_BINDING_FIX
RCK2-14,path_security,HIGH,Hardlink umgeht Symlink-Guard (islink=False); nested .git-dir/submodule/.gitmodules/LFS-Pointer ausserhalb der Scan-Coverage,B6 hardlink-aliasing + nested-git-and-submodule; legal_corpus/vendorlib/.git passiert,ja,BLOCK,S11_PS861_006D_PATH_HARDLINK_SUBMODULE_FIX
RCK2-15,format_security,HIGH,"Format: Polyglot mit Text-Praefix + Trailing-Container (zip/pdf/gzip), .rtf-Luecke (Endung+Magic), unvollstaendige SVG/HTML-Regex (table/canvas/script), neutrale Binaerendung (.dat/.zip/.bin) nicht geschlossen",B7 4 Bypaesse; A11 BMP/TIFF/EMF/WMF in Ext aber nicht in MAGIC,ja,BLOCK,S11_PS861_006D_FORMAT_POLYGLOT_CLOSED_TYPE_FIX
RCK2-16,cross_field_semantics,HIGH,"Keine Kombinations-Invarianten: einzeln gueltige Frozen-Werte ergeben unzulaessige Kombination (decision-class-downgrade, §266a-AN-Anteil fabriziert, sv_klasse<->einzugsstelle, rechtsgrund-mismatch, Aggregat-Partition-Scope)",B8 (7 Bypaesse) + B9 (Klassenmismatch/View-Statuswahrheit/Doppelpartition),ja,BLOCK,S11_PS861_006D_CROSS_FIELD_INVARIANTS_FIX
RCK2-17,dos,HIGH,"DoS: content_type_violation liest ganze Datei (unbounded), validate_artifact_rows materialisiert alle Zeilen, amount_axis-Guard quadratisch ([r for r in TAX if r not in agg])",B11 3 Bypaesse (memory-exhaustion + quadratic),ja,WARN,S11_PS861_006D_RESOURCE_BOUNDED_GUARDS_FIX
RCK2-18,public_creditor_integrity,HIGH,Public-Creditor-Label/Typ-Swap versteckt Finanzamt (jede Zelle bleibt im Frozen-Set); Ranking-Empfehlung via Negationssatz akzeptiert,B10 label-swap (ja) + ranking-negation (partial/BLOCK); B9 Typ/Label-Kreuzinkonsistenz,ja,BLOCK,S11_PS861_006D_PUBLIC_CREDITOR_ROW_CONSISTENCY_FIX
RCK2-19,schema_correctness (FACHLICH),HIGH,"A1: eingefrorenes Schema konserviert FALSCHEN BGH-10%-Massstab (zu mild/symmetrisch; laesst ""an Sicherheit grenzende Wahrscheinlichkeit"" IX ZR 123/04 weg) — ABWEICHUNG von der repo-eigenen Primaerquelle, unveraenderlich gefroren","A1: 0 Treffer der Phrase in visualization/, 7 in s11_urteile_register.json; Fehlmassstab im FROZEN_SET",ja,BLOCK,S11_PS861_006D_BERUFSTRAEGER_SCHEMA_CORRECTNESS_REVIEW
RCK2-20,format_security (scope),MEDIUM,content_type/no_binary-Guards walken nur reports/ (B.repdir()); memory/ und zitate_register/visualization/ von der MAGIC-Schicht nicht abgedeckt; BMP/TIFF/CUR-Magic fehlen,A11 + B12 TIFF/BMP/CUR_MAGIC_GAP,ja,WARN,S11_PS861_006D_FORMAT_POLYGLOT_CLOSED_TYPE_FIX
RCK2-21,gate_wiring,HIGH,"A10: die vier 006D-Gate-Skripte / returncode-Verdrahtung + recheck-protocol-Tests 18/20 am Kandidaten (test_01_no_product_changed, test_18_no_self_repair FAIL) — Gate-/Selbstpruefungs-Konsistenz zu verifizieren",A10 verified=false; manuell nachzupruefen,partial,WARN,S11_PS861_006D_GATE_WIRING_AUDIT
RCK2-22,gate_integrity,CRITICAL,"Gate-Attestierung nicht dauerhaft: die gate-registrierte recheck-protocol-Selbstpruefung (CAND=9a50f7e) war beim 670e362-Commit gruen (HEAD war 080df65, Produkt-Diff leer), ist aber JETZT rot am HEAD 670e362 (test_01/test_18 18/20) -> derselbe Gate, der 670e362 gruen attestierte, blockiert es nun; jeder Folge-Commit ist gesperrt",git diff 9a50f7e 670e362 -- companion nicht leer; check registriert in run_precommit_quality_gate.py:41; recheck-protocol 18/20,ja,BLOCK,S11_PS861_006D_GATE_ATTESTATION_DURABILITY_FIX
