achse,status
schema_correctness,"BLOCKED — RCK2-19 (eingefrorener FALSCHER BGH-10%-Massstab, IX ZR 123/04), RCK2-04 (Whitespace-Normalisierung statt byte-exakt), RCK2-07 (empirisch abgeleitet, kein Berufstraeger-Sign-off), RCK2-12 (Schema-Trust-Root ungebunden)"
meta_field_security,"BLOCKED — RCK2-03 (Regex akzeptiert Monat 13/25:61:61/9999-99-99), RCK2-10 (META-Paren-Freetext-Falldatenschmuggel)"
no_case_values_§203,"BLOCKED — RCK2-09 (IBAN/Firmenname im ID-Feld), RCK2-10 (Betrag/Datum/Steuernr im META-Freitext), RCK2-11 (ungepruefte Geschwister-CSV)"
closed_output_surface,BLOCKED — RCK2-11 (nur 10 Top-Level-Basenamen geprueft; Unterordner/tiefe/neue CSV/MD/JSON ungeprueft)
path_security,BLOCKED — RCK2-14 (Hardlink umgeht Symlink-Guard; nested .git-dir/Submodule/LFS ausserhalb Scan)
staged_blob_security,"BLOCKED — RCK2-01/13 (P0, 4x unabhaengig reproduziert; Working-Tree statt Staged-Blob)"
toctou_security,BLOCKED — RCK2-02 (P0; keine Bindung gepruefter Hashes an Commit-Tree)
gate_integrity,"BLOCKED — RCK2-22 (CRITICAL: Gate attestierte 670e362 gruen, ist dort jetzt rot; recheck-protocol stale)"
format_security,"BLOCKED — RCK2-15 (Polyglot/.rtf/unvollstaendige SVG-Regex/neutrale Binaerendung), RCK2-05 (ftyp-Pfad ungetestet), RCK2-20 (BMP/TIFF/CUR-Magic, memory/+viz nicht gewalkt)"
decision_class_integrity,"BLOCKED — RCK2-16 (decision-class-downgrade via Frozen-Set, keine Kombinationspruefung)"
crosswalk_integrity,BLOCKED — RCK2-16 (nominale Referenzintegritaet; View mit eigener Statuswahrheit)
public_creditor_integrity,BLOCKED — RCK2-18 (Label/Typ-Swap versteckt Finanzamt; Ranking via Negationssatz)
amount_axis_integrity,BLOCKED — RCK2-16 (Aggregat/Einzel-Partition per Substring; drei unabhaengige Frozen-Sets ohne Cross-Check)
test_quality,"BLOCKED — RCK2-05 (Mutation 71%, kritischer Ueberlebender ftyp), RCK2-06 (Oracle-Abhaengigkeit, 18 Aufrufe)"
reproducibility,BLOCKED — RCK2-08 (keine Run-ID/Prompt-Hash/Modellversion/Output-Hash)
GESAMT,"L99_BLOCKED_BY_STAGED_BLOB_GAP (zugleich BY_TEST_QUALITY, BY_TOCTOU, BY_SCHEMA_CORRECTNESS, BY_FORMAT_GAP, BY_UNRESOLVED_CONFLICT)"
candidate_status_confirmed,NEIN — 006D_ALLOWLIST_FORMAT_HARDENED_CANDIDATE NICHT bestaetigt
quality_confirmed,nein
naechster_erlaubter_trigger,S11_PS861_006D_STAGED_BLOB_AND_TOCTOU_BINDING_FIX (P0 zuerst)
verbotene_trigger,"kein L99-READY, keine S11-Bewertung, keine Fallrechnung, keine Visualisierungsausfuehrung, kein PPT/Visio, keine Berufstraeger-/Court-Ready-Freigabe, kein Remote/Push"
