role_id,attack_class,independent_oracle,expected,actual,bypass_successful,severity,affected_component,l99_effect
B1,"impossible-iso-timestamp (format-only meta regex, keine Kalender-/Bereichspruefung)","Eigenes Oracle parst den Zeitpunkt-Kern mit datetime.datetime.strptime(core,'%Y-%m-%dT%H:%M:%SZ') und verwirft Monat 13, Tag 45, Stunde 24/99, 30. Februar, Jahr","created_at_utc mit kalender-unmoeglichem Wert wird als Meta-Grammatik-Verletzung abgewiesen (Guard FAIL, exit!=0).","Produkt akzeptiert 9999-99-99T99:99:99Z, 2026-13-45T25:61:61Z, 2026-02-30T00:00:00Z, 2026-07-10T24:00:00Z, 0000-00-00T00:00:00Z. End-to-end: Sandbox-CSV mit 999",ja,HIGH,"zitate_register/_s11_006d_spec_validator.py META_RULES['created_at_utc'] (Z.37) + validate_meta (Z.73-79); Guards check_006d_meta_fields_strict.py, check_006d_closed_spec_schema.py",NONE
B1,semantic-false-timestamp (kein Bindung an echte Laufuhr / kein Cross-Check mit Laufdatum-Suffix),Format+Kalender-Oracle (strptime) akzeptiert jeden syntaktisch+kalendarisch gueltigen Zeitpunkt; es existiert weder im Produkt noch ohne vertrauenswuerdige Uhr ,created_at_utc sollte an die reale Laufzeit/den dokumentierten Laufdatum-Suffix gebunden und gegen Backdating/Zukunftsda,1000-01-01T00:00:00Z und 3000-01-01T00:00:00Z passieren Produkt und Format-Oracle gleichermassen; auch der Klammersuffix ' (Laufdatum 006D)' wird nicht gegen de,partial,MEDIUM,zitate_register/_s11_006d_spec_validator.py META_RULES['created_at_utc']; keine Cross-Field-/Clock-Bindung,NONE
B1,whitespace-normalization-bypass (.strip() inkl. TAB/NEWLINE/NBSP) trotz 'nur kanonische Form'-Vertrag,Eigenes Oracle fordert byte-exakte Gleichheit zum kanonischen Wert (v==CANON) bzw. fullmatch OHNE vorheriges Strippen. Der Produkt-Validator ruft r.fullmatch((v,"Nicht-byte-exakte Varianten (fuehrende/abschliessende Whitespaces, NBSP) werden abgewiesen, da der Guard 'nur die kanoni","'AI_LEVEL_6\n','AI_LEVEL_6\t','  AI_LEVEL_6  ','AI_LEVEL_6\xa0','\xa0AI_LEVEL_6' und die analogen Varianten aller 5 Felder werden akzeptiert. End-to-end: Sandbo",ja,LOW,zitate_register/_s11_006d_spec_validator.py validate_meta Z.77 (.strip()); alle 5 META-Felder,NONE
B1,"unknown-meta-field-fail-open (validate_meta nach Feldname verschluesselt, cls-agnostisch)","Statische Lesung: validate_meta(field,value) macht 'r=META_RULES.get(field); if r is None: return None'. Damit ist jede META-cls-Zelle, deren Feldname nicht ein",Ein META-klassifiziertes Feld sollte unabhaengig vom Namen einer strikten Grammatik unterliegen (fail-closed).,"Fuer jedes hypothetische neue META-Feld ausserhalb der 5 Schluessel liefert validate_meta None (akzeptiert alles). DERZEIT nicht ausnutzbar, weil validate_artif",nein,LOW,zitate_register/_s11_006d_spec_validator.py validate_meta Z.73-76 (name-keyed statt cls-keyed),NONE
B10,public_creditor_hidden_via_label_swap,Eigener csv.reader-Parser + selbst gepflegte CANON-Tabelle (glaeubiger-Name -> kanonischer glaeubiger_typ) prueft je Zeile die Kohaerenz Name<->Typ; unabhaengig,"Finanzamt/Krankenkasse muessen als eigener, korrekt typisierter P0-Glaeubiger sichtbar bleiben; eine Zeile mit glaeubige","Swap Finanzamt<->Rundfunk (typ getauscht, Namen/ID/master_class_ref unveraendert): jede Zelle bleibt in ihrem FROZEN_SET, MUST-Praesenz erfuellt (FINANZAMT-Stri",ja,HIGH,"zitate_register/_s11_006d_spec_validator.py (validate_cell prueft Zellen einzeln, keine Feld-Kreuzbindung) + check_006d_public_creditor_not_hidden_or_unverified_ranked.py (MUST nur String-Praesenz; AGG nur Sammelbegriff-Vokabular) + check_006d_view_crosswalk_referential_integrity.py (prueft nur REF-Substring, nicht id/typ/glaeubiger-Konsistenz); Fixture reports/S11_PUBLIC_CREDITOR_UNIVERSE_AND_RISK_MODEL.csv",NONE
B10,ranking_recommendation_via_sentence_context_negation,Manuelle semantische Beurteilung + isolierter Guard-Lauf: affirmative Rang-/Zahlungsempfehlung ('Finanzamt vorrangig zu zahlen') mit einem beliebigen Negationsw,Jede affirmative Rang-/Prioritaets-/Zahlungsempfehlung ist nur als Berufstraeger-Reviewfrage oder echt negierte Aussage ,"Der dedizierte Guard akzeptiert 'Finanzamt vorrangig zu zahlen (keine abweichende Reihenfolge)' (Verstoesse=0), weil die Negationspruefung (Zeile 39) zellweit s",partial,MEDIUM,"check_006d_public_creditor_not_hidden_or_unverified_ranked.py Zeile 33-41 (RANK-Regex eng; Negations-Exkulpation zellweit, widerspricht dem eigenen Docstring)",BLOCK
B10,priority_score_without_population_or_as_of_date,"Schema-Enumeration (eigener JSON-Reader): Suche nach numerischem Prioritaets-/Score-/Rang-Feld im PC-Artefakt und nach einem Population/Stichtag-Feld, gegen das","Ein Priority-Score muesste Population + Stichtag tragen, sonst blockieren.",Kein numerisches Prioritaets-/Score-Feld existiert; alle Risiko-Spalten sind FROZEN_SET-Flags/Reviewfragen (eine erlaubte Wert je Spalte). Ein Score ist nicht i,nein,NONE,"S11_PS861_006D_SPEC_ONLY_SCHEMA.json (PC-Artefakt, alle Datenspalten FROZEN_SET)",BLOCK
B10,affirmative_fremdantrag_claim_without_evidence,"Schema-Enumeration der FROZEN_SET-Werte fuer fremdantragsnah (PC) und aussage (Justification): Pruefung, ob ein affirmativer Fremdantrags-Claim ('FA hat Fremdan",Ein affirmativer Fremdantrags-/Insolvenzantrags-Claim ohne evidence_id muss blockiert sein.,"fremdantragsnah frozen auf 'BERUFSTRAEGER_REVIEWFRAGE (§14 InsO)', aussage im Justification-Artefakt maximal konditional ('FA/Kassen koennen Fremdantragsrisiken",nein,NONE,"S11_PS861_006D_SPEC_ONLY_SCHEMA.json (Felder fremdantragsnah, aussage FROZEN_SET)",BLOCK
B11,memory-exhaustion-unbounded-file-read,"Eigene beschraenkte Content-Type-Pruefung (head -c 4096 / bounded magic-byte-Read) der IDENTISCHEN 200MB-Datei: 0,00s Laufzeit, ~1,7MB RSS. Ein korrekter Conten","Guard prueft Content-Type/Magic in konstantem Speicher (KB) und Sub-Sekunden-Zeit, unabhaengig von der Dateigroesse; gro","_s11_006d_spec_validator.content_type_violation liest fuer Spec-Artefakte die GANZE Datei (Zeile 154 open(path,'rb').read(), kein Cap), .decode('utf-8'), re.sub",ja,HIGH,zitate_register/_s11_006d_spec_validator.py:154 content_type_violation (text_scan-Pfad) via check_006d_content_type_and_magic.py,NONE
B11,memory-exhaustion-row-materialization,Eigener streaming CSV-Zaehler/-Parser derselben Datei arbeitet in O(1)-Speicher (Zeile fuer Zeile). Zeilenzahl-Validierung darf nicht die gesamte Datei + alle Z,Zeilen-Validierung streamt und haelt Speicher unabhaengig von der Zeilenzahl beschraenkt.,"validate_artifact_rows (Zeile 113 raw=open(p,'rb').read(); Zeile 118 rows=list(csv.DictReader(io.StringIO(text)))) puffert dreifach: raw-Bytes + decodierter Str",ja,MEDIUM,zitate_register/_s11_006d_spec_validator.py:113-118 validate_artifact_rows,NONE
