finding_id,origin,status,befund_kurz,verweis
QCF-001,ed862a4 DualCouncilQC,CARRIED_ARCH_ROOT_REOPEN,Wording/Guard-Fix in 9a50f7e/670e362 fuer den engen Vektor; architektonische Wurzel (Falldatenkanal/staged-blob/closed-surface) in RCK2-xx erneut offen,siehe Vorgaenger-Reconciliation S11_PS861_006D_FINDING_RECONCILIATION
QCF-002,ed862a4 DualCouncilQC,NOT_CLOSED,Wording/Guard-Fix in 9a50f7e/670e362 fuer den engen Vektor; architektonische Wurzel (Falldatenkanal/staged-blob/closed-surface) in RCK2-xx erneut offen,siehe Vorgaenger-Reconciliation S11_PS861_006D_FINDING_RECONCILIATION
QCF-003,ed862a4 DualCouncilQC,CARRIED_ARCH_ROOT_REOPEN,Wording/Guard-Fix in 9a50f7e/670e362 fuer den engen Vektor; architektonische Wurzel (Falldatenkanal/staged-blob/closed-surface) in RCK2-xx erneut offen,siehe Vorgaenger-Reconciliation S11_PS861_006D_FINDING_RECONCILIATION
QCF-004,ed862a4 DualCouncilQC,CARRIED_ARCH_ROOT_REOPEN,Wording/Guard-Fix in 9a50f7e/670e362 fuer den engen Vektor; architektonische Wurzel (Falldatenkanal/staged-blob/closed-surface) in RCK2-xx erneut offen,siehe Vorgaenger-Reconciliation S11_PS861_006D_FINDING_RECONCILIATION
QCF-005,ed862a4 DualCouncilQC,CARRIED_ARCH_ROOT_REOPEN,Wording/Guard-Fix in 9a50f7e/670e362 fuer den engen Vektor; architektonische Wurzel (Falldatenkanal/staged-blob/closed-surface) in RCK2-xx erneut offen,siehe Vorgaenger-Reconciliation S11_PS861_006D_FINDING_RECONCILIATION
QCF-006,ed862a4 DualCouncilQC,CARRIED_ARCH_ROOT_REOPEN,Wording/Guard-Fix in 9a50f7e/670e362 fuer den engen Vektor; architektonische Wurzel (Falldatenkanal/staged-blob/closed-surface) in RCK2-xx erneut offen,siehe Vorgaenger-Reconciliation S11_PS861_006D_FINDING_RECONCILIATION
QCF-007,ed862a4 DualCouncilQC,CARRIED_ARCH_ROOT_REOPEN,Wording/Guard-Fix in 9a50f7e/670e362 fuer den engen Vektor; architektonische Wurzel (Falldatenkanal/staged-blob/closed-surface) in RCK2-xx erneut offen,siehe Vorgaenger-Reconciliation S11_PS861_006D_FINDING_RECONCILIATION
QCF-008,ed862a4 DualCouncilQC,NOT_CLOSED,Wording/Guard-Fix in 9a50f7e/670e362 fuer den engen Vektor; architektonische Wurzel (Falldatenkanal/staged-blob/closed-surface) in RCK2-xx erneut offen,siehe Vorgaenger-Reconciliation S11_PS861_006D_FINDING_RECONCILIATION
QCF-009,ed862a4 DualCouncilQC,REGRESSION_FOUND,Wording/Guard-Fix in 9a50f7e/670e362 fuer den engen Vektor; architektonische Wurzel (Falldatenkanal/staged-blob/closed-surface) in RCK2-xx erneut offen,siehe Vorgaenger-Reconciliation S11_PS861_006D_FINDING_RECONCILIATION
QCF-010,ed862a4 DualCouncilQC,CARRIED_ARCH_ROOT_REOPEN,Wording/Guard-Fix in 9a50f7e/670e362 fuer den engen Vektor; architektonische Wurzel (Falldatenkanal/staged-blob/closed-surface) in RCK2-xx erneut offen,siehe Vorgaenger-Reconciliation S11_PS861_006D_FINDING_RECONCILIATION
R-01,080df65 Recheck,PARTIALLY_CLOSED + NEW_FINDING,"Reale Literale migriert (synthetisch), ABER neuer Falldatenkanal ID/META (RCK2-09/10) reoeffnet die Klasse ""Mandatsdaten im Artefakt""","RCK2-09, RCK2-10"
R-02,080df65 Recheck,CARRIED_ARCH_ROOT_REOPEN,Ziel-Vektor in 670e362 adressiert; tiefere Architektur (RCK2) offen,RCK2-*
R-04,080df65 Recheck,CARRIED_ARCH_ROOT_REOPEN,Ziel-Vektor in 670e362 adressiert; tiefere Architektur (RCK2) offen,RCK2-*
R-05,080df65 Recheck,CARRIED_ARCH_ROOT_REOPEN,Ziel-Vektor in 670e362 adressiert; tiefere Architektur (RCK2) offen,RCK2-*
R-07,080df65 Recheck,CARRIED_ARCH_ROOT_REOPEN,Ziel-Vektor in 670e362 adressiert; tiefere Architektur (RCK2) offen,RCK2-*
R-11,080df65 Recheck,CARRIED_ARCH_ROOT_REOPEN,Ziel-Vektor in 670e362 adressiert; tiefere Architektur (RCK2) offen,RCK2-*
RT-G-01..75,670e362 Targeted RedTeam,CLOSED_FOR_CORPUS_NOT_ARCHITECTURALLY,"Die 53 gezielten Vektoren sind regressionsgetestet geschlossen; Mutation-Score 71% + RCK2-Architekturbypaesse zeigen: Schliessung ist korpus-spezifisch, nicht strukturell","mutation_harness, RCK2-05/09/10/11/16"
CORPUS-57,tests/fixtures 57,CLOSED_FOR_CORPUS_NOT_ARCHITECTURALLY,wie RT-G,RCK2-*
RCK2-01,RCK2 (dieser Recheck),NOT_CLOSED,"Guards pruefen den WORKING TREE (B.repdir()), git committet den INDEX/STAGED BLOB; sauberer Working-Tree kann gruen sein waehrend boeser Blo",S11_PS861_006D_STAGED_BLOB_AND_TOCTOU_BINDING_FIX
