decision_id,decision,criticality,required_coverage,status_at_transfer
DEC-001,All project-internal data may be used internally without artificial restrictions.,P0,EXPLICIT_IN_AUTHORITATIVE_HANDOFF_OR_PROJECT_INSTRUCTIONS,TO_VERIFY
DEC-002,Generic unit/guard tests use synthetic fixtures for independence and reproducibility.,P0,EXPLICIT_IN_AUTHORITATIVE_HANDOFF_OR_PROJECT_INSTRUCTIONS,TO_VERIFY
DEC-003,Claude and ChatGPT are both required for every real S11 case.,P0,EXPLICIT_IN_AUTHORITATIVE_HANDOFF_OR_PROJECT_INSTRUCTIONS,TO_VERIFY
DEC-004,A single-model S11 decision is prohibited.,P0,EXPLICIT_IN_AUTHORITATIVE_HANDOFF_OR_PROJECT_INSTRUCTIONS,TO_VERIFY
DEC-005,Both models receive the same signed immutable input package and work blind initially.,P0,EXPLICIT_IN_AUTHORITATIVE_HANDOFF_OR_PROJECT_INSTRUCTIONS,TO_VERIFY
DEC-006,Any critical model disagreement blocks the process.,P0,EXPLICIT_IN_AUTHORITATIVE_HANDOFF_OR_PROJECT_INSTRUCTIONS,TO_VERIFY
DEC-007,Two independent deterministic calculation engines are required.,P0,EXPLICIT_IN_AUTHORITATIVE_HANDOFF_OR_PROJECT_INSTRUCTIONS,TO_VERIFY
DEC-008,A manual control calculation is required.,P0,EXPLICIT_IN_AUTHORITATIVE_HANDOFF_OR_PROJECT_INSTRUCTIONS,TO_VERIFY
DEC-009,Human double review is required.,P0,EXPLICIT_IN_AUTHORITATIVE_HANDOFF_OR_PROJECT_INSTRUCTIONS,TO_VERIFY
DEC-010,The final organ decision remains outside AI.,P0,EXPLICIT_IN_AUTHORITATIVE_HANDOFF_OR_PROJECT_INSTRUCTIONS,TO_VERIFY
DEC-011,Product reference 670e362 remains NOT_ACCEPTED_L99_BLOCKED.,P0,EXPLICIT_IN_AUTHORITATIVE_HANDOFF_OR_PROJECT_INSTRUCTIONS,TO_VERIFY
DEC-012,Control-plane candidate 5ebc7ad remains ATTESTED_GREEN_PENDING_GATECODE_REVIEW.,P0,EXPLICIT_IN_AUTHORITATIVE_HANDOFF_OR_PROJECT_INSTRUCTIONS,TO_VERIFY
DEC-013,Control-plane quality is not confirmed and product work is blocked.,P0,EXPLICIT_IN_AUTHORITATIVE_HANDOFF_OR_PROJECT_INSTRUCTIONS,TO_VERIFY
DEC-014,OFFICIAL count remains 27.,P0,EXPLICIT_IN_AUTHORITATIVE_HANDOFF_OR_PROJECT_INSTRUCTIONS,TO_VERIFY
DEC-015,release_decisions remains 0.,P0,EXPLICIT_IN_AUTHORITATIVE_HANDOFF_OR_PROJECT_INSTRUCTIONS,TO_VERIFY
DEC-016,Court-Ready remains GESPERRT.,P0,EXPLICIT_IN_AUTHORITATIVE_HANDOFF_OR_PROJECT_INSTRUCTIONS,TO_VERIFY
DEC-017,Freigabe remains OFFEN.,P0,EXPLICIT_IN_AUTHORITATIVE_HANDOFF_OR_PROJECT_INSTRUCTIONS,TO_VERIFY
DEC-018,PPT-001 remains NOT_STARTED.,P0,EXPLICIT_IN_AUTHORITATIVE_HANDOFF_OR_PROJECT_INSTRUCTIONS,TO_VERIFY
DEC-019,Remote count remains 0; no push.,P0,EXPLICIT_IN_AUTHORITATIVE_HANDOFF_OR_PROJECT_INSTRUCTIONS,TO_VERIFY
DEC-020,Next Claude trigger is S11_CONTROL_PLANE_V3_TRUST_ROOT_AND_CROSS_MODEL_REMEDIATION.,P0,EXPLICIT_IN_AUTHORITATIVE_HANDOFF_OR_PROJECT_INSTRUCTIONS,TO_VERIFY
DEC-021,Next ChatGPT trigger after the candidate is S11_CONTROL_PLANE_V3_CHATGPT_INDEPENDENT_RECHECK.,P0,EXPLICIT_IN_AUTHORITATIVE_HANDOFF_OR_PROJECT_INSTRUCTIONS,TO_VERIFY
DEC-022,"No S11 calculation before Safety Constitution, multiple calculations and shadow mode.",P0,EXPLICIT_IN_AUTHORITATIVE_HANDOFF_OR_PROJECT_INSTRUCTIONS,TO_VERIFY
DEC-023,Claude works autonomously inside an approved ticket; user questions only on HARD_STOP.,P1,EXPLICIT_IN_AUTHORITATIVE_HANDOFF_OR_PROJECT_INSTRUCTIONS,TO_VERIFY
DEC-024,No finding ID may disappear; no self-approval by the fixing agent.,P0,EXPLICIT_IN_AUTHORITATIVE_HANDOFF_OR_PROJECT_INSTRUCTIONS,TO_VERIFY
DEC-025,"Four future private clean-room repositories: s11-core, s11-automation, s11-evals, s11-presentations.",P1,EXPLICIT_IN_AUTHORITATIVE_HANDOFF_OR_PROJECT_INSTRUCTIONS,TO_VERIFY
DEC-026,"Chat/project memory is not authoritative; machine-readable state, hashes and Git objects prevail.",P0,EXPLICIT_IN_AUTHORITATIVE_HANDOFF_OR_PROJECT_INSTRUCTIONS,TO_VERIFY
DEC-027,Missing or contradictory critical information blocks instead of being treated as zero or inferred.,P0,EXPLICIT_IN_AUTHORITATIVE_HANDOFF_OR_PROJECT_INSTRUCTIONS,TO_VERIFY
DEC-028,The next project step is transfer verification before any remediation or product execution.,P0,EXPLICIT_IN_AUTHORITATIVE_HANDOFF_OR_PROJECT_INSTRUCTIONS,TO_VERIFY
