backup_item_id,category,source_path,target_path,size_bytes,sha256_before,sha256_after,hash_match,included,excluded_reason,confidentiality_class,restore_required,restore_tested,status
BK-REPO-BUNDLE,git_repository_history,/Users/martinotten/wpno-rechtsprechung-db,/Users/martinotten/wpno-secure-case-ledgers/p0_backup_restore/backup/repo_20260712T180000Z_670e362a0b39.bundle,18324378,n/a(archiv),f485148ad941e3681c74183b2425f595c1eee547343785dec030e3af87f0b902,archiv_integritaet=bundle_verify_rc0,yes,,REPO_TEXT,yes,pending,CREATED
BK-REPO-TAR,git_repository_full_dir,/Users/martinotten/wpno-rechtsprechung-db,/Users/martinotten/wpno-secure-case-ledgers/p0_backup_restore/backup/repo_worktree_20260712T180000Z.tar.gz,279793182,n/a(archiv),54653e4d3da8bdd5db10e6e9547b3f1197e6c0d2dbbffc6233d1a02025801b02,archiv,yes,,REPO_PLUS_LOCAL_DB,yes,pending,CREATED
BK-TRESOR-002,offgit_tresor_file,/Users/martinotten/wpno-secure-case-ledgers/legacy_milchhof_readonly_test_001/DRIVE_MATERIALIZATION_SELECTION_DRY_RUN_DETAIL.csv,(im tresor_tar enthalten),41344,bb96c9954218fbd522200f431cbcc2b54618b8673a8f301dab655c6b85ba32d5,(via tar-restore-verifikation),pending,yes,,MANDATSNAH_OFFGIT,yes,pending,INVENTORIED
BK-TRESOR-003,offgit_tresor_file,/Users/martinotten/wpno-secure-case-ledgers/legacy_milchhof_readonly_test_001/DRIVE_METADATA_INVENTORY_DETAIL.csv,(im tresor_tar enthalten),63927,e6c6664d135af28f39c699d469959a9b4ccfbba1b122a803cba930afd5e42c32,(via tar-restore-verifikation),pending,yes,,MANDATSNAH_OFFGIT,yes,pending,INVENTORIED
BK-TRESOR-004,offgit_tresor_file,/Users/martinotten/wpno-secure-case-ledgers/legacy_milchhof_readonly_test_001/DRIVE_METADATA_INVENTORY_DETAIL.md,(im tresor_tar enthalten),201,15e6db04ae30936307eac2853d474fe235e36f43d1112267094098c63a20fbe6,(via tar-restore-verifikation),pending,yes,,MANDATSNAH_OFFGIT,yes,pending,INVENTORIED
BK-TRESOR-005,offgit_tresor_file,/Users/martinotten/wpno-secure-case-ledgers/legacy_milchhof_readonly_test_001/DRIVE_MILCHHOF_INTAKE_DETAIL.csv,(im tresor_tar enthalten),64978,2d8231b100969b3083053f52ee6e8633379840df2b75450b47eba3c31de7f532,(via tar-restore-verifikation),pending,yes,,MANDATSNAH_OFFGIT,yes,pending,INVENTORIED
BK-TRESOR-006,offgit_tresor_file,/Users/martinotten/wpno-secure-case-ledgers/legacy_milchhof_readonly_test_001/DRIVE_SELECTION_MATERIALIZATION_DETAIL.csv,(im tresor_tar enthalten),5567,85d2b230185b8efd3a81ff6f19f9823f1596bbd6aa00b290f2a8286ce6629401,(via tar-restore-verifikation),pending,yes,,MANDATSNAH_OFFGIT,yes,pending,INVENTORIED
BK-TRESOR-007,offgit_tresor_file,/Users/martinotten/wpno-secure-case-ledgers/legacy_milchhof_readonly_test_001/DRIVE_SELECTION_MATERIALIZATION_DETAIL.md,(im tresor_tar enthalten),165,8d95c712a15d5d43694adf50b49aa878b524e63fdf917462d9b6ccb1b896bf26,(via tar-restore-verifikation),pending,yes,,MANDATSNAH_OFFGIT,yes,pending,INVENTORIED
BK-TRESOR-008,offgit_tresor_file,/Users/martinotten/wpno-secure-case-ledgers/legacy_milchhof_readonly_test_001/FULL_OCR_DETAIL.csv,(im tresor_tar enthalten),2119,1f7f9f7c7bb04b7c7819da79edf8335477cf3710378c2cc8e8fc8ba3137465b0,(via tar-restore-verifikation),pending,yes,,MANDATSNAH_OFFGIT,yes,pending,INVENTORIED
BK-TRESOR-009,offgit_tresor_file,/Users/martinotten/wpno-secure-case-ledgers/legacy_milchhof_readonly_test_001/MATERIALIZED_FILE_CLASSIFICATION_DETAIL.csv,(im tresor_tar enthalten),5221,18d5df9dde453ecd231d19cbc45ceecd05d9c972a505a0a26b703d5ac1abbdc5,(via tar-restore-verifikation),pending,yes,,MANDATSNAH_OFFGIT,yes,pending,INVENTORIED
BK-TRESOR-010,offgit_tresor_file,/Users/martinotten/wpno-secure-case-ledgers/legacy_milchhof_readonly_test_001/MATERIALIZED_FILE_CLASSIFICATION_DETAIL.md,(im tresor_tar enthalten),188,b652416deb8de3532d3bec7f6a8d6abfd33968ea39fc0d46ef60323d2181e4d2,(via tar-restore-verifikation),pending,yes,,MANDATSNAH_OFFGIT,yes,pending,INVENTORIED
BK-TRESOR-011,offgit_tresor_file,/Users/martinotten/wpno-secure-case-ledgers/legacy_milchhof_readonly_test_001/OCR_PILOT_DETAIL.csv,(im tresor_tar enthalten),520,184f20d2e3cf01481186fdd54562a660cdf416fb7f476c962d5f65b666678ad3,(via tar-restore-verifikation),pending,yes,,MANDATSNAH_OFFGIT,yes,pending,INVENTORIED
BK-TRESOR-012,offgit_tresor_file,/Users/martinotten/wpno-secure-case-ledgers/legacy_milchhof_readonly_test_001/P0_F1_OCR_CAP_DEDUP_DETAIL.csv,(im tresor_tar enthalten),4176,661f5c85ede4de151b1a0c69ad3844f46f2661afd4e0af00f3b70da5aaf4d9bd,(via tar-restore-verifikation),pending,yes,,MANDATSNAH_OFFGIT,yes,pending,INVENTORIED
BK-TRESOR-013,offgit_tresor_file,/Users/martinotten/wpno-secure-case-ledgers/legacy_milchhof_readonly_test_001/PLAN_MASKING_MAP.csv,(im tresor_tar enthalten),2335,ba2940d5f61a09e1d81004320a468802e340d78429be77d99cde46dc96cb05f6,(via tar-restore-verifikation),pending,yes,,MANDATSNAH_OFFGIT,yes,pending,INVENTORIED
BK-TRESOR-014,offgit_tresor_file,/Users/martinotten/wpno-secure-case-ledgers/legacy_milchhof_readonly_test_001/materialized/10Nl6jrsdG_8yi7fciwaPtlQ70AKt0ykl.pdf,(im tresor_tar enthalten),542233,a76929430f1d8eeb8ce4a34cb6f75c8a27422b6956a069c997551d00b084d3e9,(via tar-restore-verifikation),pending,yes,,MANDATSNAH_OFFGIT,yes,pending,INVENTORIED
BK-TRESOR-015,offgit_tresor_file,/Users/martinotten/wpno-secure-case-ledgers/legacy_milchhof_readonly_test_001/materialized/12vLrIj-BKIc2EXa7T6BfDCPIIiOY7GFC.pdf,(im tresor_tar enthalten),271201,83e64a8d11dcc7c7d8d9e2a558db950be9849048654ab9c9a49217c38025597e,(via tar-restore-verifikation),pending,yes,,MANDATSNAH_OFFGIT,yes,pending,INVENTORIED
BK-TRESOR-016,offgit_tresor_file,/Users/martinotten/wpno-secure-case-ledgers/legacy_milchhof_readonly_test_001/materialized/13w5v11sQuf3gdTFzg8R00W5j12wAlLbk.pdf,(im tresor_tar enthalten),1925710,2375f2eb3a4321e78ef93b95372298f07e21765cea44b2b39495406b6e216480,(via tar-restore-verifikation),pending,yes,,MANDATSNAH_OFFGIT,yes,pending,INVENTORIED
BK-TRESOR-017,offgit_tresor_file,/Users/martinotten/wpno-secure-case-ledgers/legacy_milchhof_readonly_test_001/materialized/1477bJsoq-pEdh_3H1IeT_qd0oEOTVg_P.pdf,(im tresor_tar enthalten),1033438,70ed2b08ad4efdabd24fcc47d0b5abd69f7d8b790a342b245bf06ac850cd3337,(via tar-restore-verifikation),pending,yes,,MANDATSNAH_OFFGIT,yes,pending,INVENTORIED
