role_id,claim_tested,verified,evidence,counterexample,remaining_gap,severity,l99_effect
A1,Die eingefrorene 10%-Logik gibt den BGH-Massstab (IX ZR 123/04) zur Widerlegung der ZU-Regelvermutung bei Liquiditaetsluecke >=10% korrekt wieder.,false,Beide gefrorenen 10%-Strings formulieren die >=10%-Ausnahme zu mild: viz_decision_class = '...Ausnahmen beidseitig: >=10% aber demnaechst/absehbar geschlossen -> ggf. keine ZU...' und assertion_origin = '...Ausnahmen beidseitig...'. Der qualifizierte BGH-Massstab fehlt vollstaendig: 'an Sicherheit g,Bei Liquiditaetsluecke von z.B. 14% und blosser Absehbarkeit einer teilweisen Schliessung wuerde die gefrorene Formulierung ('demnaechst/absehbar geschlossen -> ggf. keine ZU') dem Berufstraeger nahel,"Feld ist als BERUFSTRAEGER_REVIEWFRAGE/'widerlegliche Regelvermutung'/'Anti-Schluss-gebunden' markiert, also kein KI-Faktum, sondern Reviewer-Prompt; kein Guard wertet den Text mechanisch aus. Der ein",MEDIUM,WARN
A1,Die eingefrorene as_of_date-Pflichtsemantik passt zu allen im Schema erlaubten chart_typ.,partial,"S11_TAX_SV_VISUALIZATION_SPEC.as_of_date hat als einzigen allowed value 'PFLICHT_STICHTAG (Luecke am ENDE des Dreiwochenzeitraums, nicht Einzelstichtag)'. chart_typ erlaubt u.a. 'Zahlungseinstellungs-Indizientafel' (VSP-04). Zahlungseinstellung (§17 Abs.2 S.2 InsO) wird jedoch indizienbasiert zu ein","Fuer eine Zahlungseinstellungs-Indizientafel (VSP-04) zwingt das einzige erlaubte as_of_date, den Stichtag als 'Luecke am Ende des Dreiwochenzeitraums' zu deklarieren, obwohl die Zahlungseinstellungs-","Auslegbar als bloss allgemeiner Beurteilungsstichtag; Auswirkung gering, keine Guard-Wirkung. Trotzdem eine methodisch unsaubere, konservierte Uebergeneralisierung.",LOW,NONE
A10,The four 006D test scripts in the pre-commit gate actually block a commit when a test fails.,false,"scripts/run_precommit_quality_gate.py line 218 sets ok = r.returncode == 0 for each GATES script. tests/test_s11_ps861_006d_qc_protocol.py (__main__, lines 161-171) and tests/test_s11_ps861_006d_recheck_protocol.py (__main__, lines 121-131) print the pass count but never call sys.exit(1). Reproduced","recheck_protocol has test_01_no_product_changed and test_18_no_self_repair failing right now, yet the gate observes exit 0 and reports the phase PASS.",42 of 66 006D-specific tests (the two protocol suites) are decorative in the gate; any future regression they detect is silently swallowed. Fix requires adding sys.exit(1) on failure (or running them ,CRITICAL,BLOCK
A10,All 006D protocol tests pass at the hardened candidate baseline HEAD 670e362.,false,"`python3.11 tests/test_s11_ps861_006d_recheck_protocol.py` -> 18/20 PASS. test_01_no_product_changed and test_18_no_self_repair FAIL: they pin candidate baseline CAND='9a50f7e' and assert git diff 9a50f7e..HEAD touches no product guard, but HEAD (670e362) legitimately modified zitate_register/check_","A legitimate, intended product-guard change in the very commit under review makes a 'no self repair' test fail — the assertion tests git history shape, not code behavior.","Git-commit-pinned self-referential invariants (4 of them across the two protocol files) rot as history advances; combined with finding #1 they fail invisibly, so the suite reports green while actually",HIGH,BLOCK
A10,The hardening negative tests verify the validator independently of the product code (docstring: 'Test-Oracle NICHT aus dem Produkt-Helper berechnet').,partial,"tests/test_s11_ps861_006d_allowlist_hardening.py line 12 `import _s11_006d_spec_validator as V`; every one of the 24 tests judges pass/fail by calling V.validate_cell / V.case_signature / V.content_type_violation / V.path_symlink_violation, or runs the product guards themselves via subprocess (_spec",,0 independent oracles across the whole 006D suite; a bug shared between the schema and the validator that reads it is untestable by this design. Add at least one oracle written without importing V.,MEDIUM,WARN
A10,"The validator's case-data defense-in-depth (case_signature/RULE_PREFIX for prose/RULE fields) is a live, tested protection layer.",partial,"S11_PS861_006D_SPEC_ONLY_SCHEMA.json field-class census (reproduced): 176 FROZEN_SET, 50 META, 9 ID, 0 RULE, 0 PROSE. In _s11_006d_spec_validator.validate_cell the RULE branch (lines 97-101, using RULE_PREFIX) and PROSE branch (lines 102-104) are therefore unreachable, so RULE_PREFIX is dead. case_s","A reader counts ~6 hardening tests as 'prose/RULE case-data protection' coverage, but that code path never runs during real cell validation; the tests give coverage credit for an inert branch.",Either wire prose/RULE fields into the schema or delete the dead branch and re-label the tests; current state inflates apparent robustness coverage.,MEDIUM,WARN
A10,"The 006D suite includes mutation, property-based, and hidden-eval coverage against the earlier bypass vectors.",false,"grep for hypothesis/@given/mutmut/property_based across tests/ and zitate_register/ returns no property or mutation framework for the 006D suite. The repo's own reports/S11_PS861_006D_RECHECK_TEST_QUALITY.csv concedes: STRUCTURE_PRESENCE/self-referential 87/113 (77%), NEGATIVE_MUTATION/GUARD_BYPASS ",,"No adversarial mutation harness exists; the one documented mutation-reversal gap (RCK-NEW-10) is acknowledged but unmitigated. Distribution: 0 mutation, 0 property-based, 0 hidden-eval tests.",MEDIUM,WARN
A11,check_006d_content_type_and_magic / check_006d_no_binary_or_render_output verhindern jede Render-/Binaerausgabe im Modell-only-006D-Ticket (Endung ODER Magic).,false,"FORBIDDEN_OUTPUT_EXT listet .bmp/.tif/.tiff/.emf/.wmf als verbotene Renderausgabe, aber die MAGIC-Signaturtabelle in _s11_006d_spec_validator.py enthaelt KEINE dieser Signaturen (BM / II*\x00 / MM\x00* / EMF \x01\x00\x00\x00 / WMF \xd7\xcd\xc6\x9a). Reproduziert: eine echte BMP/TIFF/EMF/WMF-Datei, u",,MAGIC-Tabelle um BM/II*/MM*/EMF/WMF (und BMP-'BM') erweitern; oder generisch jede nicht-UTF8-dekodierbare Datei in der Ausgabeflaeche als Binaer-Verdacht behandeln statt nur bei .md/.csv/.py/.json/.tx,HIGH,NONE
A11,Die Magic-/Content-Type-Verteidigung deckt ALLE deklarierten 006D-Ausgabeflaechen ab (reports/ + memory/ + zitate_register/visualization/).,false,check_006d_content_type_and_magic walkt nur REP=B.repdir() (=<root>/reports). memory/ und zitate_register/visualization/ werden von der MAGIC-Schicht NICHT durchlaufen — dort scannen check_006d_no_binary_or_render_output und check_006d_allowed_output_manifest nur per Endung (FORBIDDEN_OUTPUT_EXT). R,,"content_type_and_magic muss dieselben drei Ausgabeflaechen scannen wie die Endungs-Guards (reports/ + memory/ + zitate_register/visualization/), nicht nur reports/. Der Docstring behauptet zudem Abdec",HIGH,NONE
A11,"Render-/Binaerausgabe ausserhalb reports/memory/visualization (z.B. Repo-Wurzel, legal_corpus/) wird von der 006D-Render-Governance erfasst.",false,"no_binary_or_render_output und allowed_output_manifest Sektion 2 scannen nur reports/+memory/+viz; Sektion 3 des Manifests walkt zwar die ganze Wurzel, aber ausschliesslich auf SPEC-Artefakt-BASENAMEN (die 10 CSV/md) — ein neutral benanntes Render-Deck (S11_public_creditor_ranking.pptx an Repo-Wurze",,Bewusst akzeptiertes Restrisiko (NLB-08). Nur schliessbar durch repo-weiten Endungs+Magic-Scan aller neuen Dateien statt Verzeichnis-Allowlist.,LOW,NONE
