finding_id,artifact_evidence_present,independent_test_present,oracle_independent,reproducible,finding_closed,severity
RCK2-01,true,true,true,True,false,P0
RCK2-02,true,true,true,True,false,P0
RCK2-03,true,true,true,True,false,HIGH
RCK2-04,true,true,true,True,false,MEDIUM
RCK2-05,true,true,true,True,false,HIGH
RCK2-06,true,true,true,True,false,HIGH
RCK2-07,true,true,true,True,false,HIGH
RCK2-08,true,true,true,True,false,MEDIUM
RCK2-09,true,true,true,True,false,CRITICAL
RCK2-10,true,true,true,True,false,CRITICAL
RCK2-11,true,true,true,True,false,CRITICAL
RCK2-12,true,true,true,True,false,HIGH
RCK2-13,true,true,true,True,false,P0
RCK2-14,true,true,true,True,false,HIGH
RCK2-15,true,true,true,True,false,HIGH
RCK2-16,true,true,true,True,false,HIGH
RCK2-17,true,true,true,True,false,HIGH
RCK2-18,true,true,true,True,false,HIGH
RCK2-19,true,true,true,True,false,HIGH
RCK2-20,true,true,true,True,false,MEDIUM
RCK2-21,true,true,true,False,false,HIGH
