finding_no,role_id,material,finding,evidence
B-001,B04_dec_integrity,MATERIAL_OMISSION,"Named coverage source is absent: required_coverage points every decision at the AUTHORITATIVE_HANDOFF/PROJECT_INSTRUCTIONS, but S11_PROJECT_HANDOFF_MASTER.md is ABSENT inline and project instructions were never transferr",None of the 28 decisions can be checked against the source they cite; coverage is a dangling pointer. Decisions are unverifiable as delivered.
B-002,B04_dec_integrity,DIVERGENCE,"The decisions register itself is not byte-authentic against its own manifest, so even the DEC list's provenance is unproven before any decision is judged.",The authoritative decision inventory cannot be reproduced from the inline channel; the container carrying decision integrity fails its own integrity check.
B-003,B04_dec_integrity,MATERIAL_OMISSION,"Zero decisions are in a resolved state: all 28 are TO_VERIFY with no accompanying evidence, verifier, timestamp or citation column.","The register transfers open verification obligations, not verified facts; decision integrity is asserted as a to-do, not demonstrated."
B-004,B04_dec_integrity,MATERIAL_OMISSION,"Ten decisions have no corroboration in ANY transferred artifact — DEC-001,002,005,006,023,024,025,026,027,028 appear in neither the JSON invariants nor the register.",These decisions are pure model-side assertions with no inline anchor whatsoever — maximally unverifiable.
B-005,B04_dec_integrity,DIVERGENCE,"Even the ~18 JSON-echoed decisions are not coverage-valid: JSON is the state snapshot, not the AUTHORITATIVE_HANDOFF/PROJECT_INSTRUCTIONS the CSV names as coverage.","Mutual consistency between two files is being passed off as coverage; per the register's own rule, these decisions remain unverified against their declared source."
B-006,B04_dec_integrity,CONTINUITY_BREAK,"DEC-012 status contradicts the real repo state: it asserts candidate 5ebc7ad = ATTESTED_GREEN_PENDING_GATECODE_REVIEW, but the baseline repo lage is main=5ebc7ad, 0 candidate-refs, no V3 attestation.",A P0 decision records an attestation that does not exist in the repository; the decision's integrity claim diverges from ground truth.
B-007,B04_dec_integrity,MATERIAL_OMISSION,"DEC-014 'OFFICIAL count remains 27' has an undefined referent — nothing in the transfer defines what 27 counts, and the numbers present differ.",An invariant that should be trivially checkable cannot be resolved to a countable set from the inline transfer; the anchor is missing.
B-008,B04_dec_integrity,MATERIAL_OMISSION,"DEC-022 and DEC-025 reference constructs defined only in untransferred assets ('Safety Constitution', 'shadow mode', 'four clean-room repos s11-core/automation/evals/presentations').","The decisions are not even interpretable, let alone verifiable — their operative terms were left behind."
B-009,B04_dec_integrity,DIVERGENCE,DEC-024 'No finding ID may disappear' cannot be enforced from the transfer because the finding-ID baseline it protects is itself hash-divergent.,The anti-omission invariant references a baseline that cannot be trusted byte-for-byte; the guard is unenforceable as delivered.
B-010,B04_dec_integrity,CONTINUITY_BREAK,"DEC-026 ('machine-readable state, hashes and Git objects prevail') is self-defeating on this transfer: applying its own supremacy rule invalidates the transfer's hash claims.","The decision that elevates hashes over prose, when honored, marks two of the three critical artifacts as failing — the register cannot claim compliance with its own DEC-026."
