freeze_id,source_path,artifact_class,hash_match,status
FRZ-001,reports/ACTIVE_REDTEAM_RUNS.csv,recheck_report,true,FROZEN
FRZ-002,reports/S11_PS861_006D_ALLOWLIST_EVIDENCE_TRIBUNAL.csv,recheck_report,true,FROZEN
FRZ-003,reports/S11_PS861_006D_ALLOWLIST_EVIDENCE_TRIBUNAL.md,recheck_report,true,FROZEN
FRZ-004,reports/S11_PS861_006D_ALLOWLIST_FINDING_RECONCILIATION.csv,reconciliation,true,FROZEN
FRZ-005,reports/S11_PS861_006D_ALLOWLIST_NOVEL_ATTACKS.csv,recheck_report,true,FROZEN
FRZ-006,reports/S11_PS861_006D_ALLOWLIST_NOVEL_ATTACKS.md,recheck_report,true,FROZEN
FRZ-007,reports/S11_PS861_006D_ALLOWLIST_RECHECK_BASELINE.csv,recheck_report,true,FROZEN
FRZ-008,reports/S11_PS861_006D_ALLOWLIST_RECHECK_BASELINE.md,recheck_report,true,FROZEN
FRZ-009,reports/S11_PS861_006D_ALLOWLIST_RECHECK_DETERMINISTIC_FINDINGS.csv,recheck_report,true,FROZEN
FRZ-010,reports/S11_PS861_006D_ALLOWLIST_RECHECK_L99_DECISION.csv,l99,true,FROZEN
FRZ-011,reports/S11_PS861_006D_ALLOWLIST_RECHECK_L99_DECISION.md,l99,true,FROZEN
FRZ-012,reports/S11_PS861_006D_ALLOWLIST_RECHECK_STOP.md,recheck_report,true,FROZEN
FRZ-013,reports/S11_PS861_006D_ALLOWLIST_RECHECK_TEST_QUALITY.csv,recheck_report,true,FROZEN
FRZ-014,reports/S11_PS861_006D_RECHECK_ASSURANCE_COUNCIL_A.csv,council,true,FROZEN
FRZ-015,reports/S11_PS861_006D_RECHECK_BREAKER_COUNCIL_B.csv,council,true,FROZEN
